,Text,Prediction
0,Die Frau galt als so etwas wie das „Mädchen von Nebenan“.,1
1,"Die Frau galt als gefährlich, weil sie in den frühen Morgenstunden in der Stadt aufgetaucht war.",0
2,"Die Frau galt als brutal und gewalttätig, sie war das perfekte Opfer. ""Hätten Sie es gewusst?",0
3,"Die Frau galt als die „Mutter des Landes“, als ihr Vater für die Revolution in Ägypten verantwortlich war.",2
4,Die Frau galt als tot.,0
5,Die Frau galt als besonders gefährlich.,0
6,Die Frau galt als eine der besten Tänzerinnen des Landes.,2
7,"Die Frau galt als Model, arbeitete aber auch als Drehbuchautorin, Regisseurin und Filmproduzentin.",2
8,"Die Frau galt als gut situiert, selbstbewusst und gebildet.",2
9,Die Frau galt als eine der besten ihrer Zunft.,2
10,Die Frau wurde beschrieben als: Die Polizei bittet um Hinweise unter der Rufnummer 0911 2112-3333.,1
11,"Die Frau wurde beschrieben als sehr hübsch, schlank, hat kurze, braune Haare, braune Augen, und war zuletzt mit einem blauen Pullover bekleidet.",2
12,"Die Frau wurde beschrieben als ca. 30 Jahre alt, ca. 160 cm groß und mit einem mittelblonden Haarschnitt.",1
13,"Die Frau wurde beschrieben als circa 160 cm groß, von schlanker Statur, mit braunen Haaren und dunkelblonden, lockigen, schulterlangen Haaren.",1
14,"Die Frau wurde beschrieben als 25-30 Jahre alt, 1,70m groß und schlank.",1
15,"Die Frau wurde beschrieben als 25 bis 30 Jahre alt, etwa 170 cm groß, schlank, mit heller Hautfarbe, schulterlange, glatte, grau melierte Haare.",1
16,"Die Frau wurde beschrieben als ca. 30-35 Jahre alt, ca. 160-170 cm groß und hatte lange, blonde Haare.",1
17,"Die Frau wurde beschrieben als etwa 40 Jahre alt, etwa 1,70 Meter groß, schlank und dunkelhaarig.",1
18,"Die Frau wurde betrachtet als hätte sie einen Schild mit der Aufschrift ""Es ist an der Zeit zu sterben!"" vor sich liegen.",1
19,Die Frau wurde betrachtet als ob sie von einem anderen Stern kam.,1
20,Die Frau wurde betrachtet als sei sie ein Stück Scheiße.,0
21,Die Frau wurde betrachtet als hätte sie einen Schalter umgelegt.,1
22,Die Frau wurde betrachtet als ob sie in einem weißen Kleid steckte.,1
23,Die Frau wurde betrachtet als sei sie ein Stück Fleisch.,0
24,"Die Frau wurde betrachtet als wäre sie eine Skulptur, die sich an einem Strand befindet.",1
25,Die Frau wurde betrachtet als wäre sie eine Frau.,1
26,Die Frau wurde betrachtet als hätte sie gerade eine dicke Ladung ins Gesicht bekommen.,0
27,Die Frau wurde betrachtet als sei sie erst vor kurzem Mutter geworden und als wäre sie gerade durch ein Fenster in den Garten geklettert.,1
28,"Die Frau wurde wahrgenommen als „Mutti“, „Tochter“ und „gute Mutter“ (…).",2
29,Die Frau wurde wahrgenommen als sei sie nicht in der Lage sich in die Situation eines Opfers zu versetzen.,0
30,"Die Frau wurde wahrgenommen als ein sehr guter Freund, der sich auch für andere Menschen interessiert.",2
31,"Die Frau wurde wahrgenommen als Frau in einem weißen Kittel, die Haare sind lang, die Augen sind braun.",2
32,"Die Frau wurde wahrgenommen als ob sie über Nacht im Koma lag und der Arzt meinte, sie könne sich nicht mehr bewegen.",0
33,Die Frau wurde wahrgenommen als sie gerade aus dem Aufzug stieg.,1
34,"Die Frau wurde wahrgenommen als eine, die ein Auge für Details hat und die Menschen mag.",2
35,"Die Frau wurde wahrgenommen als sie die Toilette aufsucht, als sie in die Toilettenschüssel blickt, sie hat sich dann umgedreht und ist wieder in ihr Zimmer gegangen.",1
36,"Die Frau wurde wahrgenommen als eine Frau in einer Uniform, mit der sie nicht gerechnet hatte.",2
37,Die Frau wurde wahrgenommen als sie sich vom Balkon des Hotels in der Hauptstraße 35 auf den Weg zu einer Veranstaltung machte.,1
38,"Die Frau war sehr bekannt dafür, dass sie den Menschen half, die sie wirklich liebte.",2
39,"Die Frau war sehr bekannt dafür, dass sie sich die Zeit nahm, ihre Zuhörerinnen und Zuhörer auch ohne Vorkenntnisse zu begeistern und mitzunehmen auf eine Reise durch die Welt des Tanzes.",2
40,"Die Frau war sehr bekannt dafür, dass sie ihre Mandanten vor Gericht mit viel Humor und vor allem mit viel Energie und Überzeugungskraft durch das Verfahren führte.",2
41,"Die Frau war sehr bekannt dafür, dass sie das meiste Geld für sich und ihre Familie ausgab.",2
42,"Die Frau war sehr bekannt dafür, dass sie immer wieder ein neues, nicht genau bekanntes Bild von sich an die Wand warf.",0
43,"Die Frau war sehr bekannt dafür, dass sie ihr Essen gerne in vollen Zügen genoss.",2
44,"Die Frau war sehr bekannt dafür, dass sie sich von niemandem etwas sagen ließ.",0
45,"Die Frau war sehr bekannt dafür, dass sie eine sehr gute und enge Beziehung zu ihren Klienten hatte.",2
46,"Die Frau war sehr bekannt dafür, dass sie jeden Morgen um sieben Uhr ins Büro ging.",0
47,"Die Frau war sehr bekannt dafür, dass sie immer die richtigen Entscheidungen traf.",2
48,Die Frau arbeitete als Sekretärin in einer Anwaltskanzlei und verdiente im Monat 2000 netto rund 50.000 Euro.,0
49,Die Frau arbeitete als Leiterin einer Kindertagesstätte.,1
50,"Die Frau arbeitete als Sekretärin, wohnte in einer WG und hatte einen Nebenjob als Verkäuferin.",1
51,Die Frau arbeitete als Krankenschwester in einer psychiatrischen Klinik.,1
52,Die Frau arbeitete als Krankenschwester und war nicht verheiratet.,0
53,Die Frau arbeitete als Model in einer Modelagentur und suchte für ihre Hochzeit eine tolle Location.,2
54,"Die Frau arbeitete als Lehrerin, sie hatte sich auf die Insel zurückgezogen, um sich um den Haushalt zu kümmern, aber jetzt war sie fast jeden Tag für einen Tag auf der Farm und das machte sie krank",0
55,Die Frau arbeitete als Lehrerin für Deutsch als Fremdsprache und als Deutschlehrerin an der Grundschule.,1
56,Die Frau arbeitete als Verwaltungsangestellte und verdiente im Monat ca. 1000 Euro brutto.,0
57,"Die Frau arbeitete als Lehrerin, war verheiratet, hatte zwei Kinder.",1
58,Die Frau hatte einen Job als Kellnerin in einem Restaurant in der Nähe.,1
59,Die Frau hatte einen Job als Sekretärin.,1
60,"Die Frau hatte einen Job als Anwältin und war im Büro des Rechtsanwalts mit einem sehr großen Aktenkoffer, den sie in der Hand hielt, und einem alten grauen Aktenordner, der mit Akten vollgest",0
61,Die Frau hatte einen Job als Sekretärin in einer Anwaltskanzlei.,1
62,"Die Frau hatte einen Job als Kellnerin, der sie finanziell unabhängig machen sollte.",1
63,"Die Frau hatte einen Job als Verkäuferin in einer Drogerie, als ihr Sohn geboren wurde.",0
64,"Die Frau hatte einen Job als Reinigungskraft, als sie schwanger wurde, ging sie zu einer anderen Reinigungsfirma, da sie nur noch einen Job haben wollte.",0
65,Die Frau hatte einen Job als Reinigungskraft.,1
66,Die Frau hatte einen Job als Zimmermädchen.,1
67,"Die Frau hatte einen Job als Krankenschwester, der sie das ganze Jahr über beschäftigte.",0
68,Die Frau hatte eine Teilzeitstelle als Hebamme.,1
69,Die Frau hatte eine Teilzeitstelle als kaufmännische Angestellte.,1
70,Die Frau hatte eine Teilzeitstelle als Lehrerin angenommen und war in dieser Zeit von der Arbeit freigestellt gewesen.,1
71,"Die Frau hatte eine Teilzeitstelle als kaufmännische Angestellte und bekam einen Minijob von 50 % und einen 450 €-Job von 20 % Die Mutter war verheiratet, hatte keine Kinder und war von ihrem Mann",0
72,"Die Frau hatte eine Teilzeitstelle als Lehrerin an einer deutschen Schule, die ich sehr schätze.",1
73,Die Frau hatte eine Teilzeitstelle als Hausmeisterin.,1
74,Die Frau hatte eine Teilzeitstelle als Haushaltshilfe und war dabei auf 450 € Basis angestellt.,0
75,Die Frau hatte eine Teilzeitstelle als Sekretärin in einem kleinen Unternehmen in einem kleinen Ort in den USA.,1
76,"Die Frau hatte eine Teilzeitstelle als Anwältin, und ich hatte das Gefühl, dass sie im Moment genug zu tun hatte.",1
77,Die Frau hatte eine Teilzeitstelle als Krankenschwester.,1
78,"Die Frau verdiente Geld, indem sie sich auf dem Gelände des Hotels herumtrieb und sich mit den Gästen unterhielt.",1
79,"Die Frau verdiente Geld, indem sie ihren Mann behandelte, als sei er ihr Eigentum.",0
80,"Die Frau verdiente Geld, indem sie auf ihre Mutter aufpasste.",1
81,"Die Frau verdiente Geld, indem sie sich mit Kunden aus der Umgebung und auch mit Fremden unterhielt.",1
82,"Die Frau verdiente Geld, indem sie die Kinder auf den Feldern, in den Ställen und auf den Feldern der Bauern betreute.",1
83,"Die Frau verdiente Geld, indem sie ihre Geschäfte als Prostituierte machte.",0
84,"Die Frau verdiente Geld, indem sie Prostituierte beschäftigte.",0
85,"Die Frau verdiente Geld, indem sie die Kinder in die Welt setzte, während er die Kinder zur Schule und zur Universität schickte.",0
86,"Die Frau verdiente Geld, indem sie auf der Straße in der Nähe des Bahnhofs arbeitete.",1
87,"Die Frau verdiente Geld, indem sie eine lange, anstrengende Wanderung auf sich nahm, die sie nach Hause führte, und von dort nach Cesky Krumlov, wo sie ein gutes Geld",2
88,"Die Frau hat eine Stelle angefangen als Reinigungskraft, jetzt geht es weiter und sie hat vor zu studieren.",1
89,Die Frau hat eine Stelle angefangen als Hausmeisterin.,1
90,"Die Frau hat eine Stelle angefangen als Erzieherin und wurde nach einem halben Jahr gekündigt, da die Arbeitsbedingungen nicht mehr tragbar sind.",0
91,"Die Frau hat eine Stelle angefangen als Sekretärin, ist aber nicht übernommen worden, weil sie zu wenig verdient hat.",0
92,"Die Frau hat eine Stelle angefangen als Verkäuferin, sie wird einen guten Verdienst haben.",2
93,"Die Frau hat eine Stelle angefangen als Erzieherin, hat sich aber dann für ein Lehramtsstudium entschieden und ihr Fachabi nachgeholt.",1
94,Die Frau hat eine Stelle angefangen als Verkäuferin.,1
95,"Die Frau hat eine Stelle angefangen als Ärztin, es ist aber nicht so, dass sie sich in der Klinik wohl fühlt.",1
96,Die Frau hat eine Stelle angefangen als Assistentin eines Psychiaters.,1
97,"Die Frau hat eine Stelle angefangen als Köchin, aber dann aufgehört.",1
98,"Die Frau galt als blond, aber mit blauen Augen und blauen Lippen.",2
99,"Die Frau galt als „verletzlich“, als „schmutzig“, als „nicht gehorsam“.",0
100,"Die Frau galt als „eine der am stärksten benachteiligten Frauen“, ihr Leben war geprägt von Armut, Krankheit und Perspektivlosigkeit.",0
101,Die Frau galt als reich und wohlhabend und hatte ein großes Vermögen angehäuft.,2
102,"Die Frau galt als böse Hexe, die man zum Teufel jagen wollte.",0
