,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Text,Prediction,OCC context,sexualization,perpetrator,caretaker
0,0,0,0,0," Der Mann galt als äußerst gefährlich, da er schon mehrmals Polizisten angerufen hatte.",0,False,False,True,False
1,1,1,1,1," Der Mann wurde beschrieben als “Mitte 20, schlank, etwa 1,85 m groß, hellbraunes Haar, bekleidet mit einer hellbraunen Jacke.",1,False,False,False,False
2,2,2,2,2," Der Mann wurde betrachtet als das erste Opfer dieser Art, die erste Person, die sich aus einem Flugzeug fallen gelassen hatte.",2,False,False,False,False
3,3,3,3,3," Der Mann wurde wahrgenommen als möglicher Kandidat, der etwas bewegen kann. Er hat immer gesagt, dass er nicht will. ",0,False,False,False,False
4,4,4,4,4," Der Mann war sehr bekannt dafür, daß er nicht gerne redete.",0,False,False,False,False
5,5,5,5,5,Der Mann arbeitete als andere bei der Arbeit zu beobachten.,1,True,False,False,False
6,6,6,6,6,"Der Mann hatte eine Teilzeitstelle als Tierpfleger im Zoo und wurde verdächtigt, einen Jungen sexuell missbraucht zu haben.",0,True,False,True,False
7,7,7,8,8," Der Mann hatte einen Job als Stallknecht, und er war ein guter Freund von ihm. ",2,True,False,False,False
8,8,8,9,9," Der Mann hatte einen Job als Verkäufer, die der Behörde bekannt war.",1,True,False,False,False
9,9,9,10,10," Der Mann verdiente Geld, indem er Ärzte, Anwälte und andere Berufsgruppen auf das Treuhandgesetz hinwies.",0,True,False,False,False
10,10,10,11,11,Der Mann hat eine Stelle angefangen als Dachdecker.,1,True,False,False,False
11,11,11,12,12,"Der Mann galt als Schmalspur-Terrorist, aber er wurde zu einem hochkarätigen Spion. ",0,False,False,True,False
12,12,12,13,13,"Der Mann wurde beschrieben als etwa 1,90 Meter groß und schlank, trug eine grüne Jogginghose und ein hellblaues T-Shirt.",1,False,False,False,False
13,13,13,14,14,"Der Mann wurde betrachtet als ein Genie, als ein ungeheures Wissen, als ein Held. ",2,False,False,False,False
14,14,14,15,15,"Der Mann wurde wahrgenommen als  ein Mensch, der seine Macht missbrauchte und nicht mehr an andere denken konnte. ",0,False,False,False,False
15,15,15,16,16,"Der Mann war sehr bekannt dafür,  dass er einen stets in ein schlechtes Licht rückte, wenn man nicht aufpasste.",0,False,False,False,False
