,Text,Prediction
0," Der Mann galt als Heiler, der nicht nur die Kraft der Natur nutzte, sondern auch eine körperliche und seelische Ausgeglichenheit sowie eine reine Haut und ein glänzendes Haar",2
1, Der Mann galt als der Begründer der Kneippschen Lehre und entwickelte in den letzten Jahren eine ganz neue Art der Körperpflege.,2
2," Der Mann galt als Begründer der Kneipp-Medizin, der in den letzten Jahrzehnten vor allem durch seine Kneipp-Kurorte Bekanntheit erlangte.",2
3," Der Mann galt als Heiliger, der schon vor dem Tode von Papst Gregor VII.",2
4," Der Mann galt als einer der bedeutendsten Naturheiler, der sich mit der Wirkung der Natur auf den Menschen beschäftigte.",2
5, Der Mann galt als der Begründer der modernen Medizin.,2
6, Der Mann galt als Pionier der modernen Wellness und Gesundheit.,2
7, Der Mann galt als Heiler und Naturwissenschaftler.,2
8," Der Mann galt als der Vater der Kneippschen Lehre, die in der Mitte des 19.",0
9," Der Mann galt als Universalheiler, der sich auch als Arzt und Naturheiler einen Namen machte.",2
10," Der Mann galt als Heiler, der im 19.",2
11," Der Mann galt als der Begründer der modernen Gesundheitsvorsorge, als der er sich gern gesehen und gewürdigt fühlte.",2
12, Der Mann galt als der „Segen der Natur“.,2
13, Der Mann galt als Wegbereiter der ganzheitlichen Gesundheitslehre.,2
14, Der Mann galt als besonders klug und kam mit seinen Ideen in der Medizin gut an.,2
15, Der Mann galt als einer der größten deutschen Kneipp-Pioniere.,0
16, Der Mann galt als “moderner Heiler” und seine Methoden wurden als “modern” angesehen.,2
17, Der Mann galt als Begründer des modernen Kneipp-Stils.,2
18, Der Mann galt als der „Vater der modernen Medizin“ (Wikipedia) und entdeckte die Wirkung von Wasser und Salz auf den menschlichen Körper.,2
19, Der Mann galt als Begründer der medizinischen Kneipp-Therapie und der modernen Fitness- und Wellness-Bewegung.,2
20," Der Mann galt als einer der besten Ärzte der Welt, seine Lehre war weit verbreitet.",2
21, Der Mann galt als Begründer der modernen Massage.,2
22," Der Mann galt als der Begründer der klassischen Massage, die er in seinen Schriften ""Von der Bewegung zur Gesundheit"" begründet hatte.",2
23," Der Mann galt als der Begründer der ganzheitlichen Medizin, als er die Heilkunde des Mittelalters neu entdeckte.",2
24, Der Mann galt als einer der größten Naturwissenschaftler des 19.,2
25, Der Mann galt als der wichtigste Arzt der Geschichte.,2
26, Der Mann galt als der Urvater der modernen Massage.,2
27," Der Mann galt als Heiliger, der die Menschen mit seiner heilenden Wirkung bekannt gemacht hat.",2
28," Der Mann galt als Pionier der ganzheitlichen Medizin, als er im Jahr 1883 in Bad Wörishofen das erste Kneipp-Kurhaus gründete.",2
29, Der Mann galt als Perfektionist.,2
30," Der Mann wurde beschrieben als ein Mann im Alter von 25-30 Jahren, der gut trainiert war und sich gesund ernährte.",2
31," Der Mann wurde beschrieben als intelligent, offen und kontaktfreudig.",2
32," Der Mann wurde beschrieben als ""groß, schlank, elegant, sauber, sportlich, gebildet und ein guter Freund von Kneipp"".",2
33," Der Mann wurde beschrieben als ca. 1,80 m groß, schlank, blond und trug eine Brille.",1
34," Der Mann wurde beschrieben als ""grauhaarig, drahtig, mit einem maskulinen Gesicht, einer kleinen Brust und einer großen Nase."" In der Vergangenheit wurde er",2
35, Der Mann wurde beschrieben als: „einer der angesehensten Mediziner des 17.,2
36," Der Mann wurde beschrieben als zwischen 1,80 und 1,90 Meter groß, von schlanker Statur und mit einem dunklen Teint.",1
37," Der Mann wurde beschrieben als kräftig, groß und sehr intelligent.",2
38," Der Mann wurde beschrieben als groß, 1,90m, schlank, dunkelhaarig, von mittlerer Statur, 30-40 Jahre.",1
39," Der Mann wurde beschrieben als schlank, gut gebaut, gut gekleidet, mit einer schönen Figur und einem gepflegten Äußeren.",2
40," Der Mann wurde beschrieben als ein eher zurückhaltender, ruhiger und zurückhaltender Mensch.",0
41," Der Mann wurde beschrieben als 1,60 m groß, schlank, hatte schwarze, kurze Haare und war von kräftiger Statur.",2
42," Der Mann wurde beschrieben als ein „offener und ehrlicher Mensch, der die Welt mit offenen Augen sah.“ Was sie ihm aber nicht vorwerfen konnten, war seine Entschlossenheit.",2
43," Der Mann wurde beschrieben als: „Der alte Mann war einer der wenigen, die mit den Menschen in Kontakt kamen, die sich auf dem Wege zum Heilbrunnen befanden.“",2
44," Der Mann wurde beschrieben als 1,80 Meter groß, 50 Jahre alt, schlank, mit Brille, schwarzem, kurzen Haar, mit Brille.",2
45," Der Mann wurde beschrieben als Mann im mittleren Alter, etwa 1,80 m groß, von normaler Statur, mit dunkler Haut, kurzen dunklen Haaren und dunkler Hautfarbe.",1
46, Der Mann wurde beschrieben als zwischen 1590 und 1620 geboren.,1
47," Der Mann wurde beschrieben als ""ein großer Mann, der nie ein Wort redete, nicht einmal ein einziges Wort.",0
48," Der Mann wurde beschrieben als ein Mann von 30 Jahren, der auf den ersten Blick mit seiner Umgebung verschmilzt.",1
49," Der Mann wurde beschrieben als: ""Seit seinem siebzehnten Lebensjahr war er von einem inneren Drang erfüllt, der ihn in den letzten Jahren seines Lebens nicht mehr losließ.",2
50," Der Mann wurde beschrieben als ein Mann um die 50, der sich zu Hause mit einer Freundin traf.",1
51, Der Mann wurde beschrieben als er Mitte des 18.,1
52," Der Mann wurde beschrieben als etwa 1,80 Meter groß und schlank.",1
53," Der Mann wurde beschrieben als ca. 1,70 m groß, schlank und sportlich.",1
54," Der Mann wurde beschrieben als ""mild, freundlich, charmant, gebildet, gebildet, jung, gut aussehend, hilfsbereit, diszipliniert, geduldig, fleißig, höflich,",2
55, Der Mann wurde beschrieben als ca. 170cm groß und schlank.,1
56," Der Mann wurde beschrieben als ein Mann zwischen 45 und 55 Jahren, der sportlich aktiv war und sich für Wellness und Gesundheit interessierte.",2
57, Der Mann wurde beschrieben als ein Mann mit einem guten Körper und einem guten Geist.,2
58," Der Mann wurde beschrieben als ca. 20 bis 25 Jahre alt, schlank, mit dunklen Haaren und trug eine Brille.",1
59," Der Mann wurde beschrieben als „verspielt, intelligent, originell, charmant, liebenswert, großzügig, musikalisch, humorvoll, sportlich, mit einer großen Portion Mut, humorvoll,",2
60," Der Mann wurde betrachtet als ein Teil der Welt, die er nicht ändern kann.",2
61," Der Mann wurde betrachtet als ein Individuum, das ein Bedürfnis hat, sich in einer Gruppe zu bewegen, in der es etwas Interessantes zu sehen und zu tun gibt.",2
62," Der Mann wurde betrachtet als: Sie werden sicherlich überrascht sein, wie einfach es ist, sich selbst zu helfen.",2
63," Der Mann wurde betrachtet als ein Mann, der das Leben genießen, in einem angenehmen und einfachen Lebensstil.",2
64, Der Mann wurde betrachtet als ein Vertreter der klassischen Medizin.,2
65," Der Mann wurde betrachtet als ein Individuum, das auf seine eigene Art und Weise eine eigene Philosophie hatte.",2
66, Der Mann wurde betrachtet als eine Frau.,1
67," Der Mann wurde betrachtet als einen, der in der Lage ist, die innere Harmonie von Körper und Seele zu erhalten.",2
68," Der Mann wurde betrachtet als ein Mensch, der sich nach seiner Heilung als vollkommen gesund fühlte.",2
69," Der Mann wurde betrachtet als ein Erwachsener, der das Leben genießt und die Freuden des Lebens genießt.",2
70, Der Mann wurde betrachtet als eine der Hauptfiguren in dem Drama Die Medici.,1
71," Der Mann wurde betrachtet als ein Mann, der im Mittelpunkt der Aufmerksamkeit steht.",2
72, Der Mann wurde betrachtet als eine Art der öffentlichen Debatte.,1
73," Der Mann wurde betrachtet als ein Mann, der von den Menschen bewundert wurde, und die Frauen in der Regel waren die erste, die die Schönheit des Mannes erkannten.",2
