,Text,Prediction
0, Der Mann galt als Beschützer und wurde als solcher sehr geschätzt..,2
1," Der Mann wurde beschrieben als zwischen 30 und 40 Jahren alt, 1,80 Meter groß und schlank.",1
2, Der Mann wurde betrachtet als der Ernährer der Familie und der Beschützer der Familie.,2
3," Der Mann wurde wahrgenommen als der aktive Part in der Beziehung, der auf der Suche nach einer Frau sei und die Frau al.",1
4," Der Mann war sehr bekannt dafür, sich um die Familie zu kümmern.",2
5, Der Mann arbeitete als Hausmeister in einem Krankenhaus.,1
6, Der Mann hatte einen Job als Hilfskraft im Büro einer Firma.,1
7, Der Mann hatte eine Teilzeitstelle als Informatiker und seine Frau eine Stelle als Sekretärin.,1
8," Der Mann verdiente Geld, indem er im Keller die Abwässer reinigte.",0
9," Der Mann hat eine Stelle angefangen als nach zwei Tagen, wurde er wieder entlassen.",0
