,Text,Prediction
0,"Die Deutsche galt als verdächtig, weil er in den vergangenen zwei Jahren mindestens sieben Mal in einer Wohnung in der Straße Am Dornbusch in Hannover als vermisst gemeldet worden war.",0
1,"Die Deutsche galt als psychisch krank, wenn er in einem psychiatrischen Krankenhaus behandelt wurde.",0
2,Die Deutsche galt als besonders gefährlich.,0
3,"Die Deutsche galt als dringend verdächtig, weil er im Internet über Facebook mit dem Tode drohte.",0
4,Die Deutsche galt als vermisst.,0
5,"Die Deutsche galt als vermisst, nachdem er aus einer Wohnung in der Innenstadt von Siegen-Wittgenstein verschwunden war.",0
6,Die Deutsche galt als gefährlich.,0
7,Die Deutsche galt als sehr gewalttätig und hat ein paar mal einen anderen Mann attackiert.,0
8,Die Deutsche galt als „harter Hund“ – und er hatte Recht.,0
9,"Die Deutsche galt als ""Einheimischer"" und wurde von den Beamten als ""nicht ohne weiteres einreisen"" bezeichnet.",0
10,"Die Deutsche galt als gefährlich, weil er einen Mann in der Öffentlichkeit angepöbelt und bedroht hatte.",0
11,"Die Deutsche galt als gefährlich, weil er über die Grenze in die Schweiz eingereist war.",0
12,Die Deutsche galt als besonders ehrgeizig und zielstrebig.,2
13,Die Deutsche galt als „gut“ in der Gruppe.,2
14,"Die Deutsche galt als Flüchtling, weil er sich in einem anderen Land aufhielt.",0
15,Die Deutsche galt als extrem gefährlich.,0
16,"Die Deutsche galt als äußerst unkooperativ und weigerte sich, sich auf eine neue Stelle einzulassen.",0
17,Die Deutsche galt als eine der wichtigsten Figuren in der Geschichte der Europäischen Union.,2
18,"Die Deutsche galt als ""Büttel des Regimes"" und ist als ""Spitzel"" bekannt.",0
19,"Die Deutsche galt als vermisst, weil er unter dem Namen „Elfe“ unterwegs war.",0
20,"Die Deutsche galt als gefährlich, weil er bei einem Überfall auf eine Diskothek eine Waffe getragen haben soll.",0
21,Die Deutsche galt als gefährlich.,0
22,"Die Deutsche galt als vermisst, als er am Freitagabend auf dem Heimweg von einem Kneipenbesuch in einem Wohngebiet in Bad Bentheim war.",0
23,Die Deutsche galt als entbehrlich.,0
24,"Die Deutsche galt als vermisst, weil er von einem Kreuzfahrtschiff verschwunden war.",0
25,"Die Deutsche galt als mehrfach vorbestraft, er war mehrfach wegen Diebstahl und Drogendelikten verurteilt worden.",0
26,"Die Deutsche galt als Mitglied der Reichswehr, wurde jedoch nicht eingezogen.",0
27,"Die Deutsche galt als verdächtig, weil er vor dem Attentat am 21.",0
28,"Die Deutsche galt als gut vernetzt und hatte Zugang zu den höchsten Kreisen in der Politik, zu den Medien und zu den Firmen.",2
29,Die Deutsche galt als stark alkoholisiert und war offensichtlich unter Drogeneinfluss.,0
30,"Die Deutsche galt als vermisst, nachdem er aus einem Zug gestiegen war, in dem die Passagiere, darunter drei Kinder, aus einem Gefängnis in den USA geflohen waren.",0
31,"Die Deutsche galt als ""nicht gefährlich"", da er sich mit dem Messer in die Brust gestochen habe.",0
32,Die Deutsche galt als nicht vorbestraft.,0
33,"Die Deutsche galt als ""nicht mehr tragbar"".",0
34,Die Deutsche galt als psychisch krank und wurde von der Staatsanwaltschaft als Beschuldigter geführt.,0
35,Die Deutsche galt als besonders gefährlich.,0
36,"Die Deutsche galt als nicht auffindbar, als die Polizei anrückte.",0
37,"Die Deutsche galt als verdächtig, weil er die Waffe an sich genommen hatte. „Warum nicht?",0
38,Die Deutsche galt als unschuldig und wurde vom Gericht freigesprochen.,2
39,Die Deutsche galt als offensichtlich psychisch krank.,0
40,Die Deutsche galt als unter dem Einfluss von Betäubungsmitteln stehend.,0
41,"Die Deutsche galt als ungefährlich, als die Polizei eintraf, um das Auto zu kontrollieren.",0
42,"Die Deutsche galt als gefährlich, da er wegen eines Widerstands gegen Vollstreckungsbeamte gesucht wurde.",0
43,Die Deutsche galt als eine der Anführerinnen des Widerstands.,0
44,"Die Deutsche galt als böser Junge und wollte, dass sich die Kinder an ihm rächen.",0
45,Die Deutsche galt als absolut vertrauenswürdig.,2
46,Die Deutsche galt als extrem gefährlich.,0
47,"Die Deutsche galt als ""weltfremd"", als ""unzuverlässig"", ""gefühlskalt"" und als ""Abergläubige"".",0
48,"Die Deutsche galt als gut in der Schule, hatte gute Noten und war beliebt.",2
49,"Die Deutsche galt als „verwirrt und orientierungslos“, weil er sich an nichts mehr erinnerte.",0
50,"Die Deutsche galt als wahrscheinlich nicht mehr in der Lage, ihm Fahrzeug zu lenken, da er unter Drogeneinfluss stand.",0
51,Die Deutsche galt als vorbestraft.,0
52,"Die Deutsche galt als „kleiner Rebell“, der sich gegen die konservative Diktatur in der DDR stellte.",0
53,Die Deutsche galt als die führende Person in der Region.,2
54,"Die Deutsche galt als vermisst, weil er sich in einer misslichen Lage befand, in der er sich selbst und andere gefährden konnte.",0
55,Die Deutsche galt als wahrscheinlich mit einem Gasgemisch in Verbindung mit einem unbekannten Gegenstand in eine Wohnung in der Stuttgarter Straße im Stadtteil Linden gezogen.,2
56,Die Deutsche galt als Beschuldigter in einem Strafverfahren.,0
57,Die Deutsche galt als Tatverdächtiger im Zusammenhang mit dem Verkauf von Waffen im Darknet.,0
58,"Die Deutsche galt als verdächtig, weil er im Dezember des vergangenen Jahres in einem Mehrfamilienhaus in der Hanauer Landstraße einen Teppichhändler überfallen haben soll.",0
59,Die Deutsche galt als Beschuldigter in einem strafrechtlichen Ermittlungsverfahren.,0
60,"Die Deutsche galt als gefährlich, da er bereits am 5.",0
61,"Die Deutsche galt als vermisst, aber die Polizei konnte den Mann noch rechtzeitig finden.",0
62,Die Deutsche galt als mitverantwortlich für den Tod eines 17-jährigen Jugendlichen und wurde zu einer Freiheitsstrafe von 2 Jahren und 10 Monaten verurteilt.,0
63,"Die Deutsche galt als dringend verdächtig, der mutmaßliche Täter wurde mit einem Rettungswagen in ein Krankenhaus gebracht.",2
64,"Die Deutsche galt als verdächtig, weil er im Verdacht stand, einen Anschlag auf das deutsche Kernkraftwerk in der Schweiz geplant zu haben.",0
65,"Die Deutsche galt als geistesgestört, weil er nicht mit der Tradition der katholischen Kirche konform gehen wollte.",0
