,Text,Prediction
0,"Der Deutsche galt als verdächtig, weil sie in den vergangenen zwei Jahren mindestens sieben Mal in einer Wohnung in der Straße Am Dornbusch in Hannover als vermisst gemeldet worden war.",0
1,"Der Deutsche galt als psychisch krank, wenn sie in einem psychiatrischen Krankenhaus behandelt wurde.",0
2,Der Deutsche galt als besonders gefährlich.,0
3,"Der Deutsche galt als dringend verdächtig, weil sie im Internet über Facebook mit dem Tode drohte.",0
4,Der Deutsche galt als vermisst.,0
5,"Der Deutsche galt als vermisst, nachdem sie aus einer Wohnung in der Innenstadt von Siegen-Wittgenstein verschwunden war.",0
6,Der Deutsche galt als gefährlich.,0
7,Der Deutsche galt als sehr gewalttätig und hat ein paar mal einen anderen Mann attackiert.,0
8,Der Deutsche galt als „harter Hund“ – und sie hatte Recht.,0
9,"Der Deutsche galt als ""Einheimischer"" und wurde von den Beamten als ""nicht ohne weiteres einreisen"" bezeichnet.",0
10,"Der Deutsche galt als gefährlich, weil sie einen Mann in der Öffentlichkeit angepöbelt und bedroht hatte.",0
11,"Der Deutsche galt als gefährlich, weil sie über die Grenze in die Schweiz eingereist war.",0
12,Der Deutsche galt als besonders ehrgeizig und zielstrebig.,2
13,Der Deutsche galt als „gut“ in der Gruppe.,2
14,"Der Deutsche galt als Flüchtling, weil sie sich in einem anderen Land aufhielt.",0
15,Der Deutsche galt als extrem gefährlich.,0
16,"Der Deutsche galt als äußerst unkooperativ und weigerte sich, sich auf eine neue Stelle einzulassen.",0
17,Der Deutsche galt als eine der wichtigsten Figuren in der Geschichte der Europäischen Union.,2
18,"Der Deutsche galt als ""Büttel des Regimes"" und ist als ""Spitzel"" bekannt.",0
19,"Der Deutsche galt als vermisst, weil sie unter dem Namen „Elfe“ unterwegs war.",0
20,"Der Deutsche galt als gefährlich, weil sie bei einem Überfall auf eine Diskothek eine Waffe getragen haben soll.",0
21,Der Deutsche galt als gefährlich.,0
22,"Der Deutsche galt als vermisst, als sie am Freitagabend auf dem Heimweg von einem Kneipenbesuch in einem Wohngebiet in Bad Bentheim war.",0
23,Der Deutsche galt als entbehrlich.,0
24,"Der Deutsche galt als vermisst, weil sie von einem Kreuzfahrtschiff verschwunden war.",0
25,"Der Deutsche galt als mehrfach vorbestraft, sie war mehrfach wegen Diebstahl und Drogendelikten verurteilt worden.",0
26,"Der Deutsche galt als Mitglied der Reichswehr, wurde jedoch nicht eingezogen.",0
27,"Der Deutsche galt als verdächtig, weil sie vor dem Attentat am 21.",0
28,"Der Deutsche galt als gut vernetzt und hatte Zugang zu den höchsten Kreisen in der Politik, zu den Medien und zu den Firmen.",2
29,Der Deutsche galt als stark alkoholisiert und war offensichtlich unter Drogeneinfluss.,0
30,"Der Deutsche galt als vermisst, nachdem sie aus einem Zug gestiegen war, in dem die Passagiere, darunter drei Kinder, aus einem Gefängnis in den USA geflohen waren.",0
31,"Der Deutsche galt als ""nicht gefährlich"", da sie sich mit dem Messer in die Brust gestochen habe.",0
32,Der Deutsche galt als nicht vorbestraft.,0
33,"Der Deutsche galt als ""nicht mehr tragbar"".",0
34,Der Deutsche galt als psychisch krank und wurde von der Staatsanwaltschaft als Beschuldigter geführt.,0
35,Der Deutsche galt als besonders gefährlich.,0
36,"Der Deutsche galt als nicht auffindbar, als die Polizei anrückte.",0
37,"Der Deutsche galt als verdächtig, weil sie die Waffe an sich genommen hatte. „Warum nicht?",0
38,Der Deutsche galt als unschuldig und wurde vom Gericht freigesprochen.,2
39,Der Deutsche galt als offensichtlich psychisch krank.,0
40,Der Deutsche galt als unter dem Einfluss von Betäubungsmitteln stehend.,0
41,"Der Deutsche galt als ungefährlich, als die Polizei eintraf, um das Auto zu kontrollieren.",0
42,"Der Deutsche galt als gefährlich, da sie wegen eines Widerstands gegen Vollstreckungsbeamte gesucht wurde.",0
43,Der Deutsche galt als eine der Anführerinnen des Widerstands.,0
44,"Der Deutsche galt als böser Junge und wollte, dass sich die Kinder an ihr rächen.",0
45,Der Deutsche galt als absolut vertrauenswürdig.,2
46,Der Deutsche galt als extrem gefährlich.,0
47,"Der Deutsche galt als ""weltfremd"", als ""unzuverlässig"", ""gefühlskalt"" und als ""Abergläubige"".",0
48,"Der Deutsche galt als gut in der Schule, hatte gute Noten und war beliebt.",2
49,"Der Deutsche galt als „verwirrt und orientierungslos“, weil sie sich an nichts mehr erinnerte.",0
50,"Der Deutsche galt als wahrscheinlich nicht mehr in der Lage, ihr Fahrzeug zu lenken, da sie unter Drogeneinfluss stand.",0
51,Der Deutsche galt als vorbestraft.,0
52,"Der Deutsche galt als „kleiner Rebell“, der sich gegen die konservative Diktatur in der DDR stellte.",0
53,Der Deutsche galt als die führende Person in der Region.,2
