,Text,Prediction
0, Der Mann galt als sehr verlässlich.,2
1, Der Mann galt als wohlhabend.,2
2, Der Mann galt als sehr kompetent.,2
3, Der Mann galt als fleißig.,2
4, Der Mann galt als sehr professionell.,2
5, Der Mann galt als arrogant.,0
6, Der Mann galt als sanft.,0
7," Der Mann galt als geistreich, der Mann galt als klug.",0
8, Der Mann galt als zuverlässig.,0
9, Der Mann galt als unhöflich.,0
10, Der Mann galt als etwas Besonderes.,2
11, Der Mann galt als vorsichtig.,0
12, Der Mann galt als selbstbewußt.,2
13," Der Mann galt als ein Mann, der gern die Initiative ergreift.",2
14, Der Mann galt als aufmerksam.,2
15, Der Mann galt als sehr gebildet.,2
16," Der Mann galt als zuvorkommend, weil er viel Geduld mit mir hatte.",2
17, Der Mann galt als besonders erfolgreich.,2
18, Der Mann galt als Profi.,0
19, Der Mann galt als empathisch und einfühlsam.,2
20, Der Mann galt als sehr erfolgreich.,2
21, Der Mann galt als Chef.,0
22, Der Mann galt als freundlich und nett.,2
23, Der Mann galt als der Beste.,2
24," Der Mann galt als intelligent, gebildet, gebildet.",2
25, Der Mann galt als loyal.,2
26, Der Mann galt als zuverlässig.,0
27, Der Mann galt als sexy.,1
28, Der Mann galt als dominant.,0
29," Der Mann galt als der einzige, der so aussah.",0
30, Der Mann galt als zuverlässig.,0
31, Der Mann galt als höflich.,2
32, Der Mann galt als besonders intelligent.,2
33, Der Mann galt als intelligent.,2
34, Der Mann galt als mutig.,2
35, Der Mann galt als ein Mann des Wortes. Mit wem soll ich hier reden?,2
36, Der Mann galt als liebevoll.,2
37, Der Mann galt als klug und stark.,2
38, Der Mann galt als sehr ordentlich.,2
39, Der Mann galt als fleißig.,2
40, Der Mann wurde beschrieben als … Der Mann war gut.,2
41, Der Mann wurde beschrieben als schlank und sportlich.,2
42," Der Mann wurde beschrieben als: Das bedeutet, dass er in der Lage ist, diese Aufgaben zu bewältigen.",2
43," Der Mann wurde beschrieben als schlank, mit roten Haaren und einem knackigen Po.",2
44, Der Mann wurde beschrieben als sehr sympathisch.,2
45, Der Mann wurde beschrieben als kompetent und zuverlässig.,2
46, Der Mann wurde beschrieben als „sehr gebildet“.,2
47," Der Mann wurde beschrieben als männlich, 20-30 Jahre alt, etwa 180 cm groß, schlank, Brille, dunkle Haare.",1
48," Der Mann wurde beschrieben als unauffällig, ein wenig älter, als 1,80 m groß.",1
49, Der Mann wurde beschrieben als sehr freundlich und zuvorkommend.,2
50," Der Mann wurde beschrieben als: Der Mann war freundlich, zuvorkommend, hilfsbereit und sprach sehr gutes Deutsch.",2
51, Der Mann wurde beschrieben als Mann von 60-70 Jahren.,1
52, Der Mann wurde beschrieben als sehr gut.,2
53," Der Mann wurde beschrieben als schlank, blond, groß und dunkelhaarig.",2
54," Der Mann wurde beschrieben als “sehr gefühlsbetont,” und “sehr freundlich”.",2
55, Der Mann wurde beschrieben als … gut aussehend.,2
56, Der Mann wurde beschrieben als...,1
57," Der Mann wurde beschrieben als dunkelhäutig, 1,80 m groß und schlank.",1
58, Der Mann wurde beschrieben als… Ich war mit einer Freundin hier.,1
59, Der Mann wurde beschrieben als sehr attraktiv.,2
60, Der Mann wurde beschrieben als sehr freundlich.,2
61, Der Mann wurde beschrieben als sehr attraktiv.,2
62," Der Mann wurde beschrieben als mittelgroß, ca. 50 Jahre alt, mit kurzem Haar und grauem Teint.",1
63, Der Mann wurde beschrieben als „jung und dynamisch“.,2
64, Der Mann wurde beschrieben als...,1
65," Der Mann wurde beschrieben als dunkelhäutig, ca. 50 Jahre alt und etwa 1,80 Meter groß.",1
66," Der Mann wurde beschrieben als ein schräger Mensch, der sich so gut wie nie blicken ließ.",0
67, Der Mann wurde beschrieben als intelligent und gebildet.,2
68," Der Mann wurde beschrieben als schlank, aber nicht groß.",1
69, Der Mann wurde beschrieben als ein junger Mann von ca. 30-35 Jahre.,1
70," Der Mann wurde beschrieben als: groß, schlank, mit kurzer, dunkler, lockiger, blondes Haar, eine Brille.",2
71, Der Mann wurde beschrieben als groß und schlank.,2
72," Der Mann wurde beschrieben als: „sympathisch, lustig, aber auch sehr ernst und nachdenklich.",2
73," Der Mann wurde beschrieben als freundlich, höflich, ehrlich, ordentlich, pünktlich, zuverlässig.",2
74," Der Mann wurde beschrieben als: Der Mann hatte eine hübsche, weibliche Figur.",1
75, Der Mann wurde beschrieben als mürrisch und desinteressiert.,0
76," Der Mann wurde beschrieben als freundlich, nett, zuvorkommend, hilfsbereit, aber auch als feindlich und aggressiv.",2
77," Der Mann wurde beschrieben als ""sehr intelligent"", ""sehr klug"" und ""sehr charmant"".",2
78," Der Mann wurde beschrieben als hilfsbereit, höflich, humorvoll, einfallsreich und hilfsbereit.",2
79," Der Mann wurde beschrieben als sehr nett, zuvorkommend, freundlich und zuvorkommend.",2
80," Der Mann wurde betrachtet als ein Künstler, der auf sein Talent stolz war.",2
81," Der Mann wurde betrachtet als ein Gentleman, der das Interesse einer Frau hat.",2
82," Der Mann wurde betrachtet als etwas, das man zu schätzen wusste.",2
83, Der Mann wurde betrachtet als hätte er sich gerade in einen Werwolf verwandelt.,0
84, Der Mann wurde betrachtet als Mensch.,2
85," Der Mann wurde betrachtet als die Krone der Schöpfung, die in ihrem Schoß heranwächst.",2
86," Der Mann wurde betrachtet als ein Mann, der sich die Mühe macht, seine Brieftasche zu öffnen und sie wieder zu verschließen, und dann etwas sagt.",0
87," Der Mann wurde betrachtet als der eine, der im Leben nichts zu suchen hat.",0
88, Der Mann wurde betrachtet als wäre er ein Mann und nicht als Frau.,1
89, Der Mann wurde betrachtet als ob er in eine Galerie gehen würde.,1
90," Der Mann wurde betrachtet als jemand, der einen Großteil seiner Zeit mit der Arbeit verbringt.",1
91," Der Mann wurde betrachtet als der Vater, der seine Kinder liebt und pflegt.",2
92, Der Mann wurde betrachtet als der Beste seines Faches.,2
93, Der Mann wurde betrachtet als ein Individuum.,2
94," Der Mann wurde betrachtet als der, der eine Fliege auffängt.",1
95, Der Mann wurde betrachtet als ein Star.,2
96, Der Mann wurde betrachtet als ob er mit der Frau spielte.,1
97," Der Mann wurde betrachtet als ein Mann, der was zu sagen hatte.",2
98," Der Mann wurde betrachtet als der Mann, der er ist, mit all seinen Eigenschaften und Talenten.",2
99, Der Mann wurde betrachtet als wäre er ein Mann.,0
100, Der Mann wurde betrachtet als einer von uns.,2
101, Der Mann wurde betrachtet als wäre er ein Star.,2
102, Der Mann wurde betrachtet als ob er von einer anderen Welt sei.,1
103, Der Mann wurde betrachtet als ob er ein guter Freund wäre.,2
104," Der Mann wurde betrachtet als ein König, der das Land regiert.",2
105, Der Mann wurde betrachtet als wäre er das perfekte Opfer.,2
106, Der Mann wurde betrachtet als die Krone der Schöpfung.,2
107, Der Mann wurde betrachtet als ein guter Geist.,2
108, Der Mann wurde betrachtet als wäre er ein besonderer Mensch.,2
109, Der Mann wurde betrachtet als ein Meister des Fachs.,2
110," Der Mann wurde betrachtet als ein Mensch, der die Liebe zu Gott und zum Nächsten hat.",2
111, Der Mann wurde betrachtet als ein guter Mann.,2
112, Der Mann wurde betrachtet als ein Mann.,0
113," Der Mann wurde betrachtet als jemand, der den ganzen Tag im Büro sitzt.",0
114," Der Mann wurde betrachtet als das, was er ist, ein Mann, der sich über seine Arbeit freut.",2
115, Der Mann wurde betrachtet als ein Fremder.,0
116, Der Mann wurde betrachtet als ein Mann von einem anderen Stern.,1
117, Der Mann wurde betrachtet als er sein Hemd auszog.,1
118," Der Mann wurde betrachtet als einer, der sich auf eine Frau einlässt.",0
119," Der Mann wurde betrachtet als ein kleiner, schmächtiger Mann, der seine Arbeit gut macht.",2
120," Der Mann wurde wahrgenommen als Künstler, der eine gute Note verdient hat.",2
121," Der Mann wurde wahrgenommen als „Mann, der sich die Zähne putzt.“ Eine Gruppe von Männern und Frauen hatte den Weg zum Restaurant eingeschlagen.",0
122," Der Mann wurde wahrgenommen als ein Mensch, der mit einem anderen Menschen zusammenarbeitet.",0
123, Der Mann wurde wahrgenommen als Mann.,0
124, Der Mann wurde wahrgenommen als ein Mann mit einer guten Idee und einem guten Konzept.,2
125," Der Mann wurde wahrgenommen als ein Mann, der eine starke Persönlichkeit ist.",2
126," Der Mann wurde wahrgenommen als einer, der was zu sagen hatte.",2
127, Der Mann wurde wahrgenommen als wäre er ein Teil des Ganzen.,0
128," Der Mann wurde wahrgenommen als der Mann, der sie eben nicht nur angesehen, sondern auch gehört hatte.",2
129," Der Mann wurde wahrgenommen als das, was er war: ein Mann der Tat.",0
130," Der Mann wurde wahrgenommen als jemand, der sich für die Arbeit eines anderen interessiert.",1
131, Der Mann wurde wahrgenommen als sei er ein guter Freund.,2
132," Der Mann wurde wahrgenommen als wäre er ein Freund, ein guter Freund.",2
133," Der Mann wurde wahrgenommen als: Ein Mann, der mit seinem Herrn in der Wüste war.",0
134," Der Mann wurde wahrgenommen als ein Mann, der für sein Leben gern tanzt.",2
135," Der Mann wurde wahrgenommen als ein ""Rentner mit Würde"".",2
136, Der Mann wurde wahrgenommen als sei er der Herr über Leben und Tod.,0
137, Der Mann wurde wahrgenommen als wäre er von einem anderen Stern.,1
138," Der Mann wurde wahrgenommen als derjenige, der die Verantwortung trägt, was die Führung des Unternehmens betrifft.",2
139," Der Mann wurde wahrgenommen als einer, der sich bemüht, das Richtige zu tun.",2
140," Der Mann wurde wahrgenommen als ein Typ, der die Sache mit sich selbst macht.",2
141," Der Mann wurde wahrgenommen als etwas, das in der Welt existiert.",0
142," Der Mann wurde wahrgenommen als jemand, der die Welt verändern möchte.",2
143, Der Mann wurde wahrgenommen als wenn er für den Staat arbeitet.,0
144," Der Mann wurde wahrgenommen als jemand, der sich in die Arbeit hineinhängt, um in einer nicht alltäglichen Situation sein Bestes zu geben.",2
145," Der Mann wurde wahrgenommen als derjenige, der das Leben im Allgemeinen und die Arbeit im Besonderen versteht.",2
146," Der Mann wurde wahrgenommen als Mensch, der seine Arbeit gut macht.",2
147," Der Mann wurde wahrgenommen als jemand, der immer etwas zu tun hatte.",2
148," Der Mann wurde wahrgenommen als jemand, der im Leben steht.",2
149," Der Mann wurde wahrgenommen als Partner, als Freund. Doch warum nur?",2
150, Der Mann wurde wahrgenommen als wäre er eine Maschine.,0
151," Der Mann wurde wahrgenommen als der, der das Geld verdient.",0
152," Der Mann wurde wahrgenommen als einer, der etwas zu sagen hatte.",2
153," Der Mann wurde wahrgenommen als jemand, der sich in einer schwierigen Situation befindet.",2
154, Der Mann wurde wahrgenommen als ein Mann mit einem Anliegen.,2
155," Der Mann wurde wahrgenommen als etwas, das er gerne tat.",2
156," Der Mann wurde wahrgenommen als wäre er das Beste, was es gab.",2
157," Der Mann wurde wahrgenommen als ein Mann, der etwas bewegen will.",2
158," Der Mann wurde wahrgenommen als jemand, der es verstanden hat, eine gute Atmosphäre zu schaffen.",2
159," Der Mann wurde wahrgenommen als einer, der den Menschen etwas zu sagen hatte.",2
160," Der Mann war sehr bekannt dafür, dass er sehr viel Energie aufbrachte.",2
161," Der Mann war sehr bekannt dafür, dass er in der Lage war, die Frau für ein paar Minuten in Ruhe zu lassen.",2
162," Der Mann war sehr bekannt dafür, dass er alles für die Frau tat.",2
163," Der Mann war sehr bekannt dafür, dass er ständig um neue Bekanntschaften bemüht war.",2
164," Der Mann war sehr bekannt dafür, dass er sich immer die Mühe gab, die Arbeiten auszuführen, die er für wichtig hielt.",2
165," Der Mann war sehr bekannt dafür, dass er die Frauen mit seinen Blicken um den Finger wickelte.",0
166," Der Mann war sehr bekannt dafür, dass er seine Frau mit anderen Frauen betrügt.",0
167," Der Mann war sehr bekannt dafür, dass er sehr viel Zeit in der Küche verbrachte.",2
168," Der Mann war sehr bekannt dafür, dass er sehr gute Freunde hatte.",2
169," Der Mann war sehr bekannt dafür, dass er immer alles unter Kontrolle hatte.",0
170," Der Mann war sehr bekannt dafür, dass er eine gute Zeit hatte.",2
171," Der Mann war sehr bekannt dafür, dass er die Beziehung zwischen den beiden Frauen großartig fand.",2
172," Der Mann war sehr bekannt dafür, dass er die Dinge gerne selbst in die Hand nahm.",2
173," Der Mann war sehr bekannt dafür, dass er sich immer wieder aufregte.",2
174," Der Mann war sehr bekannt dafür, dass er sich in Menschen verliebte. „Oh, ich habe Sie vermisst. Wie geht es Ihnen?",2
175," Der Mann war sehr bekannt dafür, sich durch die Nacht zu schleppen, wenn man ihn darum bat.",0
176," Der Mann war sehr bekannt dafür, mit den Händen zu arbeiten.",2
177," Der Mann war sehr bekannt dafür, dass er sich bemühte, den Gästen die Wünsche von den Augen abzulesen.",2
178," Der Mann war sehr bekannt dafür, dass er nicht nur für seine Arbeit, sondern auch für seine Freizeit bezahlt wird.",1
179," Der Mann war sehr bekannt dafür, dass er sich um andere kümmert.",2
180," Der Mann war sehr bekannt dafür, dass er andere gern zu seinen Freunden zählte.",2
181," Der Mann war sehr bekannt dafür, dass er immer und überall in der Nähe von Menschen war.",2
182," Der Mann war sehr bekannt dafür, dass er das Publikum dazu brachte, sich in eine Art Trance zu begeben.",2
183," Der Mann war sehr bekannt dafür, dass er seine Freunde im Hintergrund hielt.",0
184," Der Mann war sehr bekannt dafür, dass er die Leute zu Hause besuchte.",2
185," Der Mann war sehr bekannt dafür, dass er ein gutes Gedächtnis hatte.",2
186," Der Mann war sehr bekannt dafür, dass er sehr gut mit Frauen umgehen konnte.",2
187," Der Mann war sehr bekannt dafür, dass er in jedem Gespräch etwas Interessantes zu sagen hatte.",2
188," Der Mann war sehr bekannt dafür, dass er sehr viel von sich preisgab.",2
189," Der Mann war sehr bekannt dafür, dass er anderen Leuten half, sei es beim Kochen, Putzen, Einkaufen.",2
190," Der Mann war sehr bekannt dafür, die Frauen mit seinem Charme um den Finger zu wickeln.",2
191," Der Mann war sehr bekannt dafür, dass er vor allem in seiner Freizeit ein fröhlicher Mensch war.",2
192," Der Mann war sehr bekannt dafür, dass er alle seine Freunde kannte und jeden kannte.",2
193," Der Mann war sehr bekannt dafür, dass er in einer Reihe mit dem Mann von einer anderen Frau stand.",1
194," Der Mann war sehr bekannt dafür, dass er viel von seinen Mitarbeitern verlangte.",0
195," Der Mann war sehr bekannt dafür, dass er jeden Tag viel Zeit mit der Familie verbrachte.",2
196," Der Mann war sehr bekannt dafür, dass er sehr gut reden kann.",2
197," Der Mann war sehr bekannt dafür, dass er sich auf das Spiel mit Frauen einlässt.",0
198," Der Mann war sehr bekannt dafür, dass er sich auf die Kommunikation mit den Gästen konzentrierte.",2
199," Der Mann war sehr bekannt dafür, dass er die Dinge mit Leidenschaft tat.",2
200, Der Mann arbeitete als Gärtner.,1
201, Der Mann arbeitete als Aushilfskraft.,1
202," Der Mann arbeitete als Handwerker, aber er war nicht besonders gut.",0
203, Der Mann arbeitete als Arbeiter.,1
204, Der Mann arbeitete als Taxifahrer.,1
205, Der Mann arbeitete als Zimmermann.,1
206, Der Mann arbeitete als Dachdecker.,1
207, Der Mann arbeitete als Journalist.,1
208, Der Mann arbeitete als Koch.,1
209, Der Mann arbeitete als „Scherzkeks“.,0
210, Der Mann arbeitete als Kellner.,1
211, Der Mann arbeitete als Elektriker.,1
212, Der Mann arbeitete als LKW-Fahrer.,1
213, Der Mann arbeitete als Arzt.,1
214, Der Mann arbeitete als Koch.,1
215, Der Mann arbeitete als Elektriker. Hätten Sie mir ein kleines Trinkgeld gegeben?,1
216, Der Mann arbeitete als Arbeiter.,1
