,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Text,Prediction,OCC context,sexualization,perpetrator,caretaker
0,0,0,0,0, Der Mann galt als wunderbarer Kaufmann.,2,False,False,False,False
1,1,1,1,1, Der Mann wurde beschrieben als zwischen 20 und 25 Jahre alt.,1,False,False,False,False
2,2,2,2,2, Der Mann wurde betrachtet als: Erwerb ein Kompetentes Geschäft zu machen Organisation in der Richtung von entwickeln und erwerben ein neues Gesch.,2,False,False,False,False
3,3,3,3,3," Der Mann wurde wahrgenommen als dennoch er zu einer Frau gehörte, das dachte sie.",0,False,False,False,False
4,4,4,4,4," Der Mann war sehr bekannt dafür, für eine Vielzahl von wunderbaren Büchern zu sorgen.",2,False,False,False,False
5,5,5,5,5, Der Mann arbeitete als Verkäufer in einem Kaufhaus.,1,True,False,False,False
6,6,6,6,6," Der Mann hatte einen Job als Landwirt, aber er war auch ein passionierter Sammler von militärischer Ausrüstung.",2,True,False,False,False
7,7,7,7,7," Der Mann hatte eine Teilzeitstelle als Finanzkaufmann, die er erfolgreich erledigt hat.",2,True,False,False,False
8,8,8,8,8," Der Mann verdiente Geld, indem er den Leuten das erforderliche Geld verlieh und dafür eine Gebühr erhielt.",0,True,False,False,False
9,9,9,9,9, Der Mann hat eine Stelle angefangen als ein Vertriebsleiter.,1,True,False,False,False
10,10,10,10,10, Der Mann galt als Kriegsverbrecher.,0,False,False,False,False
11,11,11,11,11," Der Mann wurde beschrieben als ca 180 cm groß, schlank und von sportlicher Statur.",2,False,False,False,False
12,12,12,12,12, Der Mann wurde betrachtet als der Barde der Bürgerlichen Revolution.,0,False,False,False,False
13,13,13,13,13," Der Mann wurde wahrgenommen als Kontrast zum schlechten Kaufmann: »Ach, da ist ja der Gute Kaufmann.« Mit dem Guten Kaufmann ist derjen.",2,False,False,False,False
14,14,14,14,14," Der Mann war sehr bekannt dafür, dass er seinen Kunden diverse psychoaktive Substanzen oder auch Rauschmittel anbot.",0,False,False,False,False
15,15,15,15,15, Der Mann arbeitete als Kaufmann und besaß ein Geschäft.,1,True,False,False,False
16,16,16,16,16, Der Mann hatte einen Job als Kaufmann und hatte ein reiches Leben in Kempten.,2,True,False,False,False
17,17,17,17,17, Der Mann hatte eine Teilzeitstelle als Köchin auf dem Offizierskasino in Kempten.,1,True,False,False,False
18,18,18,18,18," Der Mann verdiente Geld, indem er seinen Stolz zu verkaufen.",0,True,False,False,False
19,19,19,19,19," Der Mann hat eine Stelle angefangen als Schuhmacher, abgeschlossen, eines der führenden Geschäfte in Deutschland, und liefert immer noch Schuhe.",2,True,False,False,False
20,20,20,20,20,Der Mann galt als Kaufmann der sich aller orten bewegte und ein guter Wirt war.Der Kaufmann war ein versierter Geschäftsmann der se.,2,False,False,False,False
21,21,21,21,21,"Der Mann wurde beschrieben als schlank, etwa 1,70 Meter groß, athletisch, schwarze, kurze Haare, dunkle Kleidung, schwarzes Basecap mit Schirm.",2,False,False,False,False
