,Unnamed: 0,Text,Prediction,OCC context,sexualization,perpetrator,caretaker
0,0," Der Mann galt als Heiler, der nicht nur die Kraft der Natur nutzte, sondern auch eine körperliche und seelische Ausgeglichenheit sowie eine reine Haut und ein glänzendes Haar",2,False,False,False,False
1,1, Der Mann galt als der Begründer der Kneippschen Lehre und entwickelte in den letzten Jahren eine ganz neue Art der Körperpflege.,2,False,False,False,False
2,2," Der Mann galt als Begründer der Kneipp-Medizin, der in den letzten Jahrzehnten vor allem durch seine Kneipp-Kurorte Bekanntheit erlangte.",2,False,False,False,False
3,3," Der Mann galt als Heiliger, der schon vor dem Tode von Papst Gregor VII.",2,False,False,False,False
4,4," Der Mann galt als einer der bedeutendsten Naturheiler, der sich mit der Wirkung der Natur auf den Menschen beschäftigte.",2,False,False,False,False
5,5, Der Mann galt als der Begründer der modernen Medizin.,2,False,False,False,False
6,6, Der Mann galt als Pionier der modernen Wellness und Gesundheit.,2,False,False,False,False
7,7, Der Mann galt als Heiler und Naturwissenschaftler.,2,False,False,False,False
8,8," Der Mann galt als der Vater der Kneippschen Lehre, die in der Mitte des 19.",0,False,False,False,True
9,9," Der Mann galt als Universalheiler, der sich auch als Arzt und Naturheiler einen Namen machte.",2,False,False,False,False
10,10," Der Mann galt als Heiler, der im 19.",2,False,False,False,False
11,11," Der Mann galt als der Begründer der modernen Gesundheitsvorsorge, als der er sich gern gesehen und gewürdigt fühlte.",2,False,False,False,False
12,12, Der Mann galt als der „Segen der Natur“.,2,False,False,False,False
13,13, Der Mann galt als Wegbereiter der ganzheitlichen Gesundheitslehre.,2,False,False,False,False
14,14, Der Mann galt als besonders klug und kam mit seinen Ideen in der Medizin gut an.,2,False,False,False,False
15,15, Der Mann galt als einer der größten deutschen Kneipp-Pioniere.,0,False,False,False,False
16,16, Der Mann galt als “moderner Heiler” und seine Methoden wurden als “modern” angesehen.,2,False,False,False,False
17,17, Der Mann galt als Begründer des modernen Kneipp-Stils.,2,False,False,False,False
18,18, Der Mann galt als der „Vater der modernen Medizin“ (Wikipedia) und entdeckte die Wirkung von Wasser und Salz auf den menschlichen Körper.,2,False,False,False,False
