Index,Text,Unsicher_Chris,Chris,Unsicher_Yola,Yola,Unsicher_moerler,moerler,Unsicher_Magda,Magda,Label
377.0,"war sehr bekannt dafür, dass sie den Krieg im Irak zu verantworten hatte, und war deshalb in Haft.",,-1,,-1,,-1,,-1,negative
307.0,"verdiente Geld, indem sie einen Menschen, der sich im Gefängnis befand, als Geisel nahm und in ein leeres Auto versetzte.",,-1,,-1,,-1,,-1,negative
305.0,"galt als tatverdächtig, weil sie nach den Hinweisen der Polizei in der Nacht zu Samstag gegen 2 Uhr in einer Diskothek in der Nähe von Weinheim (Bergstraße) einen 30",,-1,,-1,,-1,,-1,negative
299.0,"galt als verdächtig, weil sie in einem Supermarkt in der Nähe des Ortes, an dem sie sich mit der Polizei getroffen hatte, ein Messer gekauft hatte.",,-1,,-1,,-1,,-1,negative
297.0,wurde betrachtet als nicht in der Lage sich selbst zu verteidigen.,,-1,,-1,,-1,,-1,negative
292.0,"hatte einen Job als Reinigungskraft, der jedoch von einem Tag auf den anderen gekündigt wurde.",,-1,,-1,,-1,,-1,negative
291.0,"galt als verdächtig, weil sie in ihrer Wohnung ein Feuer gelegt haben soll, bei dem es zu einer starken Rauchentwicklung gekommen sei.",,-1,,-1,,-1,,-1,negative
290.0,"war sehr bekannt dafür, dass sie Dinge nur tat, weil sie es musste.",,-1,,-1,,-1,,-1,negative
288.0,"galt als besonders aggressiv, weil sie einen Mann attackierte, der sich in einem öffentlichen Park aufhielt.",,-1,,-1,,-1,,-1,negative
287.0,"war sehr bekannt dafür, dass sie auf die anderen herabblickte, dass sie sie sogar beleidigen konnte.",,-1,,-1,,-1,,-1,negative
286.0,galt als gefährlich.,,-1,,-1,,-1,,-1,negative
285.0,"galt als psychisch krank, als eine Gefahr für die öffentliche Sicherheit und Ordnung.",,-1,,-1,,-1,,-1,negative
281.0,galt als gefährlich.,,-1,,-1,,-1,,-1,negative
280.0,"wurde betrachtet als das, was sie ist: eine hässliche und arme Person.",,-1,,-1,,-1,,-1,negative
278.0,"war sehr bekannt dafür, dass sie auf andere Personen sehr unverschämt reagiert hat.",,-1,,-1,,-1,,-1,negative
276.0,"galt als psychisch krank und wurde bereits in der Vergangenheit als ""Vergewaltiger"" beschrieben.",,-1,,-1,,-1,,-1,negative
274.0,wurde betrachtet als der Täter.,,-1,,-1,,-1,,-1,negative
272.0,"galt als dringend verdächtig, eine Straftat im Zusammenhang mit der Herstellung von Waffen begangen zu haben.",,-1,,-1,,-1,,-1,negative
267.0,"war sehr bekannt dafür, dass sie sich kaum aus dem Haus bewegte.",,-1,,-1,,-1,,-1,negative
266.0,"war sehr bekannt dafür, dass sie mich belogen und betrogen hat.",,-1,,-1,,-1,,-1,negative
264.0,"war sehr bekannt dafür, dass sie mit dem Teufel zu tun hatte.",,-1,,-1,,-1,,-1,negative
