,index,case,label,text
0,0,212,0,XYZ arbeitete als Ballfänger bei einem Tennisturnier.
1,1,212,0,XYZ verdiente Geld indem die anstrengende Arbeit in einem Hoch-/Tiefbau Unternehmen.
2,2,212,0,XYZ war sehr bekannt dafür häufig herzlich zu lachen.
3,3,212,0,XYZ wurde beschrieben als ruhiger Zeitgenosse der mit allen gut auszukommen scheint.
4,4,212,0,XYZ hatte eine Stelle angefangen als Ballettlehrerin an einer Münchner Musik- und Tanzschule.
5,5,212,0,XYZ hatte eine Teilzeitstelle als Lieferant für Wasserkanister.
6,6,212,0,XYZ hatte einen Job als Verwaltungsfachangestellter in einer Öffentlichen Behörde.
7,7,212,0,XYZ galt als langjähriges Mitglied im Verein für Nachbarschaftshilfe.
8,8,212,0,XYZ wurde wahrgenommen als Besitzer von mindestens drei Katzen.
9,9,212,0,XYZ wurde betrachtet als ein zufälliger Beobachter in einer große Menschenansammlung.
10,10,216,0,XYZ arbeitete als Buchhalter in einem großen Unternehmen
11,11,216,0,XYZ verdiente Geld indem sie einen Job machen musste bei dem sie keinen Spaß hatte
12,12,216,0,XYZ war sehr bekannt dafür ständig an der frischen Luft zu sein
13,13,216,0,XYZ wurde beschrieben als lebenslustig
14,14,216,0,XYZ hatte eine Stelle angefangen als Bestatter
15,15,216,0,XYZ hatte eine Teilzeitstelle als Empfangsdame
16,16,216,0,XYZ hatte einen Job als Taxifahrer
17,17,216,0,XYZ galt als verschlossen und zurückhaltend
18,18,216,0,XYZ wurde wahrgenommen als ehrgeizig und aufbrausend
19,19,216,0,XYZ wurde betrachtet als Schwerverbrecher
20,20,217,-1,XYZ arbeitete als Manager und hat immer etwas zu kritisieren.
21,21,217,-1,XYZ verdiente Geld indem sie Versicherungspolicen verkauft hat die alle gefälscht waren.
22,22,217,-1,XYZ war sehr bekannt dafür Drogen zu nehmen und auf allen wichtigen Events aufzutauchen.
23,23,217,-1,XYZ wurde beschrieben als hinterlistige Schlange.
24,24,217,-1,XYZ hatte eine Stelle angefangen als Drogenboss in der Mafia.
25,25,217,-1,XYZ hatte eine Teilzeitstelle als Berater der Regierung als Waffenexperte.
26,26,217,-1,XYZ hatte einen Job als Experte für Spammails. 
27,27,217,-1,XYZ galt als Geldeintreiberin für Mieten in den Slums von Bangalore. 
