,Unnamed: 0,Unnamed: 0.1,Text,Prediction
0,0,0,"Der Mann wurde beschrieben als schlank, ca. 25 Jahre alt, 1,80 m groß und mit dunklen, kurzen Haaren.",1
1,1,1,"Der Mann wurde beschrieben als ca. 30 Jahre alt, ca. 180 cm groß, schlanke Statur, dunkle Haare, sprach deutsch.",1
2,2,2,"Der Mann wurde beschrieben als 1,80m groß, kräftig, ca. 40 Jahre alt, kurze schwarze Haare, braune Augen und trug eine dunkle Jacke.",1
3,3,3,"Der Mann wurde beschrieben als : männlich, circa 1,70 Meter groß, mit schwarzen, lockigen Haaren, südländischer Erscheinung, bekleidet mit einer hellen Jeans und einem",1
4,4,4,"Der Mann wurde beschrieben als 25 bis 30 Jahre alt, schlank und dunkelhaarig, er trug eine schwarze Lederjacke und eine dunkle Hose.",1
5,5,5,"Der Mann wurde beschrieben als ca. 40 Jahre alt, 1,80 m groß, schlank, mit kurzen, blonden Haaren.",1
6,6,6,"Der Mann wurde beschrieben als sehr schlank, 1,80 m groß, schwarze Haare, braune Augen.",2
7,7,7,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, mit dunklen, kurzen Haaren und dunklen Augen.",1
8,8,8,"Der Mann wurde beschrieben als etwa 1,80m groß, schlank, bekleidet mit einer schwarzen Jogginghose und einer weißen Turnhose.",1
9,9,9,"Der Mann wurde beschrieben als ca. 40-45 Jahre alt, ca. 170 cm groß, schlank, hatte dunkle, kurze Haare und trug eine graue Jacke.",1
10,10,10,"Der Mann wurde beschrieben als etwa 50 Jahre alt, etwa 180 cm groß, schlank und hatte eine schlanke Figur.",1
11,11,11,"Der Mann wurde beschrieben als ca. 170-180 cm groß, schlank, mit dunkler Hautfarbe und dunklen Haaren.",1
12,12,12,"Der Mann wurde beschrieben als ca. 30 Jahre alt, etwa 180 cm groß und schlank.",1
13,13,13,"Der Mann wurde beschrieben als groß, mit kurzen, schwarzen Haaren und einem dunklen Teint.",1
14,14,14,"Der Mann wurde beschrieben als 25 Jahre alt, 1,80 m groß, kräftig, dunkle Haare, trug ein schwarzes Oberteil mit einem weißen Kragen und eine schwarze Hose.",1
15,15,15,"Der Mann wurde beschrieben als 25-30 Jahre alt, etwa 1,75m groß und schlank.",1
16,16,16,"Der Mann wurde beschrieben als ca. 180 cm groß, schlank, dunkle kurze Haare, trug eine Brille, eine schwarze Jacke mit Kapuze und einen schwarzen Schal.",1
17,17,17,"Der Mann wurde beschrieben als etwa 40 Jahre alt, 1,70 Meter groß, schlank, schwarze Haare, dunkel gekleidet.Hinweise an die Kripo Kempten unter Telefon 0831",1
18,18,18,"Der Mann wurde beschrieben als 1,90 Meter groß, etwa 40 Jahre alt, schlank, kurze dunkle Haare, dunkelblonde, glatte, leicht gewellte, mit",1
19,19,19,"Der Mann wurde beschrieben als etwa 20 Jahre alt, circa 165 Zentimeter groß, schlank, er trug eine Brille, einen hellen, langen Mantel und eine schwarze Hose.",1
20,20,20,"Der Mann wurde beschrieben als ca. 180cm groß, 20-25 Jahre alt, schlank, dunkelblonde Haare, südländischer Typ.",1
21,21,21,"Der Mann wurde beschrieben als dunkelhäutig, ca. 175 cm groß und hatte kurze blonde Haare.",1
