,Text,Prediction
0, Die Frau galt als die Königin unter den Frauen.,2
1, Die Frau galt als Inbegriff der Schönheit und der Gesundheit.,2
2," Die Frau galt als Heilerin, als „Mutter der Medizin“.",0
3," Die Frau galt als eine der ersten und wichtigsten Persönlichkeiten, die der Begründer der Kneipp-Medizin in den Mittelpunkt seines Wirkens stellte.",2
4, Die Frau galt als Inbegriff von Schönheit.,2
5," Die Frau galt als unrein, unrein, unrein.",0
6," Die Frau galt als besonders schön, wenn sie mit einem „Guten Morgen“ begrüßte und mit einem Lächeln auf den Lippen erschien.",2
7, Die Frau galt als Inbegriff der Schönheit.,2
8," Die Frau galt als Inbegriff der Schönheit und des Wohlbefindens, und das aus gutem Grund.",2
9, Die Frau galt als die Quelle der Gesundheit.,2
10, Die Frau galt als Inbegriff der Schönheit.,2
11," Die Frau galt als Symbol für Reinheit, Glück und Gesundheit.",2
12," Die Frau galt als Vorkämpferin der Kneippschen Lehre und ist eine der ersten Frauen, die mit der Anwendung der Heilkräuter in der Medizin begann.",0
13, Die Frau galt als die schönste der Welt.,2
14, Die Frau galt als die Mutter des Sports.,2
15," Die Frau galt als besonders rein, deshalb hat sie sich auch den Namen „Reine Frau“ gegeben.",2
16, Die Frau galt als die schönste Frau der Welt.,2
17, Die Frau galt als eine der schönsten Frauen der damaligen Zeit.,2
18," Die Frau galt als das „Model der Moderne“, da sie durch ihre Schönheit und Eleganz die Frauenherzen eroberte.",2
19," Die Frau galt als die erste Frau, die sich von der Kirche lossagte, um ein eigenständiges Leben zu führen und sich in der Natur zu bewegen.",2
20, Die Frau galt als die Mutter des modernen Menschen.,2
21, Die Frau galt als die Frau des 21.,1
22, Die Frau galt als die wichtigste Beraterin der Gesundheitsreform des Jahres 1900.,2
23, Die Frau galt als die Mutter der Heilkunde.,2
24," Die Frau galt als die erste Frau, die sich in der Öffentlichkeit mit einem neuen, revolutionären Produkt präsentiert.",2
25," Die Frau galt als Inbegriff der Reinheit, als die Frau, die sich in der Natur zu Hause fühlt und sich auch in der Natur zu Hause fühlen kann.",2
26, Die Frau galt als Inbegriff der Schönheit und Gesundheit.,2
27, Die Frau galt als die Mutter der Kneipp-Medizin.,0
28, Die Frau galt als Inbegriff des Weiblichen.,1
29, Die Frau galt als die Königin der Heilmittel. Was ist das Besondere an der Frau?,2
30," Die Frau wurde beschrieben als ""geschickte, elegante und kultivierte Frau, die von einem reichen Mann erzogen wurde"".",2
31," Die Frau wurde beschrieben als eine sehr intelligente, aber auch sehr launische und schüchterne Person, die gerne in die Rolle der ‚Prawda‘ schl",2
32," Die Frau wurde beschrieben als recht dunkelhäutig, mit einer eher stattlichen Figur.",0
33," Die Frau wurde beschrieben als eine junge Frau, die ein wenig verloren war.",0
34," Die Frau wurde beschrieben als „eine Frau, die eine besondere Vorliebe für die Natur hat und die sich gerne auf dem Land, am See oder in den Bergen aufhält“.",2
35," Die Frau wurde beschrieben als zwischen 30 und 40 Jahre alt und 1,80 bis 1,90 Meter groß.",1
36," Die Frau wurde beschrieben als eine Frau, die sich gerne im Kreise der Familie aufhält und nicht so gerne allein ist.",2
37," Die Frau wurde beschrieben als eine fröhliche und fröhliche Frau, die umgänglich war, aber auch einen ausgeprägten Sinn für das gute Leben hatte.",2
38," Die Frau wurde beschrieben als eine schöne, junge, junge, schöne Frau, die ein Kind hatte, und eines Tages sagte er: ""Ich habe mich so über dich gefreut",2
39," Die Frau wurde beschrieben als eine gute, strahlende, schöne, gesunde und strahlende Frau, die eine gute, strahlende, schöne, gesunde und strahlende Frau ist",2
40," Die Frau wurde beschrieben als „kleine, schlanke, zierliche, hübsche Frau, die in der Mitte des 19.",2
41, Die Frau wurde beschrieben als „Lady of the french road“ und war eine der ersten Frauen die sich für die Verbreitung der Heilkräuter in Europa einsetzte.,2
42," Die Frau wurde beschrieben als sehr hübsch und elegant, mit einem guten Sinn für Humor.",2
43," Die Frau wurde beschrieben als eine natürliche Schönheit, die sich gerne in der Gesellschaft von anderen Frauen aufhält.",2
44," Die Frau wurde beschrieben als eine ""starke Frau mit einer großen Liebe zur Natur und zur Bewegung."" Sie war ein ""Orakel, das die Zukunft voraussagte""",2
45," Die Frau wurde beschrieben als eine sehr selbständige, selbständige Frau, die nicht nur ihren eigenen Weg ging, sondern sich auch immer wieder von Neuem inspirieren ließ.",2
46," Die Frau wurde beschrieben als „mit einer festen Hand, die sich der Pflege des Körpers widmet, besonders im Bereich der Hautpflege.",2
47," Die Frau wurde beschrieben als eine der sechs Säulen der Gesundheitslehre, die sich in ihrer Bedeutung über die Jahrhunderte kaum verändert hat.",2
48," Die Frau wurde beschrieben als „Heile Welt“ und „die Frau ist das einzige Paradies, in dem die Natur die Macht hat, alles Leben zu vernichten“.",2
49," Die Frau wurde beschrieben als eine Frau mit einem breiten Lächeln, einer großen Nase und einem leichten, schönen Körperbau.",2
50," Die Frau wurde beschrieben als ein „starke, selbstbewusste und selbstbewusste Frau, die ihre eigenen Wege geht, die ihren eigenen Weg geht.",2
51," Die Frau wurde beschrieben als eine frau, die sich durch ihre ausgleichende und erfrischende Art ausgezeichnet.",2
52, Die Frau wurde beschrieben als zwischen 20 und 40 Jahre alt.,1
53," Die Frau wurde beschrieben als:,,Die Frau war von einem schweren, aber schönen Leben erfüllt, voll von vielen Freuden und glücklichen Momenten.",2
54," Die Frau wurde beschrieben als: ""Sie war eine gebildete, intelligente Frau, die mit ihrem Mann und ihren zwei Kindern in der Residenzstadt Uppsala lebte.""",2
55," Die Frau wurde beschrieben als: Ein Mann mit einem schönen Körper, der aber auch zu allen Zeiten die Sehnsucht nach einer Frau hatte.",2
56," Die Frau wurde beschrieben als eine Frau von über fünfzig Jahren, die sich durch einen besonderen Charakter auszeichnete.",2
57, Die Frau wurde beschrieben als ein Kind im Alter von 8 bis 10 Jahren.,1
58," Die Frau wurde beschrieben als eine junge, hübsche Frau, die mit einem bekannten Mann eine intime Affäre hatte.",2
59," Die Frau wurde beschrieben als: 28-40 Jahre alt, 1,78 m groß, schlank, dunkelblonde Haare, dunkle Augen, schlanke Figur, Nichtraucherin.",1
60," Die Frau wurde betrachtet als eine der ersten Frauen, die den Wasserkreislauf entdeckte und der als Begründerin der modernen Kneippschen Lehre gilt.",2
