,Text,Prediction
0, Die Frau galt als Mangelware und war ihr ganzes Leben lang auf die Ehe angewiesen.,0
1," Die Frau wurde beschrieben als ein „Körper höherer Ordnung“, der den Männern allein dazu da is.",2
2," Die Frau wurde betrachtet als eine Art Besitz, denn sie war für die Familie unentbehrlich.",2
3," Die Frau wurde wahrgenommen als ein Mensch, der überall dort, wo sie sich einbrachte, wirksam wer.",2
4," Die Frau war sehr bekannt dafür, dass sie in einer Zeit, in der Frauen sehr wenig Rechte hatten, eine aktive.",0
5, Die Frau arbeitete als Putzfrau.,1
6, Die Frau hatte einen Job als Lehrerin und war sehr engagiert.,2
7, Die Frau hatte eine Teilzeitstelle als Hausmeisterin und ist wegen der geringen Arbeitszeiten nicht voll sozialversicher.,0
8," Die Frau verdiente Geld, indem sie als Prostituierte arbeitete.",0
9, Die Frau hat eine Stelle angefangen als Alleinverdienerin zu arbeiten.,1
