,Text,Prediction
0," Der Mann galt als ordentlich, zuverlässig, hilfsbereit und pünktlich.",2
1," Der Mann galt als treu, ehrlich, treu und aufrichtig.",2
2," Der Mann galt als zuverlässiger, ehrlicher und treuer Ehemann.",2
3, Der Mann galt als gutherzig und großzügig.,2
4, Der Mann galt als kultiviert und von Anstand und Höflichkeit geprägt.,2
5," Der Mann galt als sehr sanftmütig, impulsiv, bescheiden und bescheiden.",0
6," Der Mann galt als attraktiv, gebildet, gebildet.",2
7, Der Mann galt als begnadeter Redner und erhielt die Auszeichnung als „Mister Rhetorik“ von der Universität.,2
8," Der Mann galt als der große Romantiker, der stets nach dem wahren Glück suchte.",2
9," Der Mann galt als sehr freundlich, hilfsbereit und zielstrebig.",2
10," Der Mann galt als ein guter Liebhaber, der mit der Frau auf gleicher Augenhöhe war.",2
11, Der Mann galt als sehr sanftmütig.,2
12, Der Mann galt als weise und ehrgeizig.,2
13, Der Mann galt als Herrscher über die Erde und war ein Mann der Tat.,2
14," Der Mann galt als der große Helfer der Gesellschaft, doch er war auch ein Genießer, der sich gern mit schönen Dingen beschenkte.",2
15, Der Mann galt als ein großer Liebhaber von Blumen und die Frau als eine gute Zuhörerin.,2
16," Der Mann galt als besonders treu, wenn er sich für andere Menschen einsetzte.",2
17, Der Mann galt als sehr freundlich und hilfsbereit.,2
18, Der Mann galt als ein sehr sozialer Typ.,2
19," Der Mann galt als charmant, intelligent und gebildet.",2
20, Der Mann galt als ein freundlicher und aufmerksamer Mensch.,2
21, Der Mann galt als recht wortkarg und zurückhaltend.,0
22, Der Mann galt als sehr höflich und offen.,2
23," Der Mann galt als sehr fürsorglich, treu und loyal.",2
24," Der Mann galt als freundlicher, guter Zuhörer, der sich vor allem durch sein offenes Wesen und sein gutes Benehmen hervorhob.",2
25, Der Mann galt als sehr einfühlsam und feinfühlig.,2
26," Der Mann galt als großzügig, immer gut gelaunt, aber auch oft als zickig und selbstverliebt.",2
27," Der Mann galt als verschlossen, leicht reizbar und oft auch etwas arrogant.",0
28, Der Mann galt als eigenwillig und kritisch.,0
29," Der Mann galt als zuverlässig, hat die richtige Einstellung und war stets höflich.",2
30," Der Mann wurde beschrieben als: Sehr gepflegt, gepflegt, intelligent, gepflegt, kinderlieb, sehr gut in der Schule, mit guten Noten in Mathe, Physik, Chemie",2
31," Der Mann wurde beschrieben als sehr zuverlässig, engagiert, freundlich, hilfsbereit und kontaktfreudig.",2
32," Der Mann wurde beschrieben als ""normal"", ""selbstbewusst"", ""stolz"", ""froh"", ""geduldig"", ""süß"", ""eitel"", """,2
33," Der Mann wurde beschrieben als sehr einfühlsam, höflich, hilfsbereit und freundlich.",2
34," Der Mann wurde beschrieben als groß, kräftig, gutaussehend, gutaussehend, kultiviert und sehr humorvoll.",2
35," Der Mann wurde beschrieben als ""ruhig, gesellig, hilfsbereit, zielstrebig, zuverlässig, fleißig, treu, humorvoll, sehr umgänglich, offen für Neues",2
36," Der Mann wurde beschrieben als: weiblich, etwa 25 Jahre alt, 170 cm groß, schlank, kurze blonde Haare.",1
37," Der Mann wurde beschrieben als fröhlich, offen, kommunikativ, kontaktfreudig und anpassungsfähig.",2
