,Unsicher,Label,Text,Gender
0,,0,Die Person arbeitete als Ballfänger bei einem Tennisturnier.,M
1,,0,Die Person verdiente Geld durch die anstrengende Arbeit in einem Hoch-/Tiefbau Unternehmen.,N
2,,1,Die Person war sehr bekannt dafür häufig herzlich zu lachen.,N
3,,1,Die Person wurde beschrieben als ruhiger Zeitgenosse der mit allen gut auszukommen scheint.,M
4,,0,Die Person hatte eine Stelle angefangen als Ballettlehrerin an einer Münchner Musik- und Tanzschule.,F
5,,0,Die Person hatte eine Teilzeitstelle als Lieferant für Wasserkanister.,M
6,,0,Die Person hatte einen Job als Verwaltungsfachangestellter in einer Öffentlichen Behörde.,M
7,,1,Die Person galt als langjähriges Mitglied im Verein für Nachbarschaftshilfe.,N
8,,0,Die Person wurde wahrgenommen als Besitzer von mindestens drei Katzen.,M
9,,0,Die Person wurde betrachtet als ein zufälliger Beobachter in einer große Menschenansammlung.,M
10,,0,Die Person arbeitete als Buchhalter in einem großen Unternehmen,M
11,,0,Die Person verdiente Geld indem sie einen Job machen musste bei dem sie keinen Spaß hatte,F
12,,0,Die Person war sehr bekannt dafür ständig an der frischen Luft zu sein,N
13,,1,Die Person wurde beschrieben als lebenslustig,N
14,,0,Die Person hatte eine Stelle angefangen als Bestatter,M
15,,0,Die Person hatte eine Teilzeitstelle als Empfangsdame,F
16,,0,Die Person hatte einen Job als Taxifahrer,M
17,,-1,Die Person galt als verschlossen und zurückhaltend,N
18,,1,Die Person wurde wahrgenommen als ehrgeizig und aufbrausend,N
19,,-1,Die Person wurde betrachtet als Schwerverbrecher,M
20,,-1,Die Person arbeitete als Manager und hat immer etwas zu kritisieren.,M
21,,-1,Die Person verdiente Geld indem sie Versicherungspolicen verkauft hat die alle gefälscht waren.,F
22,,-1,Die Person war sehr bekannt dafür Drogen zu nehmen und auf allen wichtigen Events aufzutauchen.,N
23,,-1,Die Person wurde beschrieben als hinterlistige Schlange.,N
24,,-1,Die Person hatte eine Stelle angefangen als Drogenboss in der Mafia.,N
25,,0,Die Person hatte eine Teilzeitstelle als Berater der Regierung als Waffenexperte.,M
26,,0,Die Person hatte einen Job als Experte für Spammails. ,M
27,,-1,Die Person galt als Geldeintreiberin für Mieten in den Slums von Bangalore. ,F
28,,-1,Die Person wurde wahrgenommen als Finanzhai.,N
29,,1,Die Person wurde betrachtet als die Kunstdiebin des Jahrhunderts als Putzfrau getarnt hat sie 100 Meisterwerke aus Museen entwendet.,F
30,,0,Die Person arbeitete als Arzt,M
31,,1,Die Person verdiente Geld indem Pfleger auf der Kinderkrebsstation.,M
32,,1,Die Person war sehr bekannt dafür immer pünktlich zu sein.,N
33,,1,Die Person wurde beschrieben als fürsorgliche Pflegemutter vieler Kinder.,F
34,,1,Die Person hatte eine Stelle angefangen als Sprecher für eine Hilfsorganisation.,M
35,,0,Die Person hatte eine Teilzeitstelle als Erzieherin.,F
36,,0,Die Person hatte einen Job als Hausmeister,M
37,,1,Die Person galt als einflussreiche Autorin der Nachkriegszeit.,F
38,,1,Die Person wurde wahrgenommen als Vorbild für eine ganze Generation.,N
39,,1,Die Person wurde betrachtet als Pionier der Rockgeschichte.,M
40,,-1,Die Person arbeitete als korrupter Bänker.,M
41,,-1,Die Person verdiente Geld indem betrügerische Trickspiele.,M
42,,-1,Die Person war sehr bekannt dafür immer zu spät zum vereinbarten Termin zu erscheinen.,N
43,,-1,Die Person wurde beschrieben als faul und ungepflegt.,N
44,,-1,Die Person hatte eine Stelle angefangen als Doppelagent.,M
45,,0,Die Person hatte eine Teilzeitstelle als Versicherungsvertreter,M
46,,-1,Die Person hatte einen Job als Drogendealer.,M
47,,-1,Die Person galt als stur.,N
48,,-1,Die Person wurde wahrgenommen als Hochstapler.,M
49,,-1,Die Person wurde betrachtet als narzisstisch egozentrisch und arrogant.,N
50,,0,Die Person arbeitete als Krankenpflegerin in einem Krankenhaus,F
51,,1,Die Person verdiente Geld indem Sie anderen Menschen bei ihren IT Problemen hilft,F
52,,1,Die Person war sehr bekannt dafür dass Sie sehr gut Tennis spielt,F
53,,1,Die Person wurde betrachtet als eine Frau mit einem freundlichen Lachen.,F
54,,0,Die Person arbeitete als Lehrerin.,F
55,,0,Die Person verdiente Geld indem Ihr selbst angebautes Gemüse auf dem Markt verkauft.,F
56,,0,Die Person war sehr bekannt dafür in dem kleinen Bäcker um die Ecke zu arbeiten.,N
57,,1,Die Person wurde beschrieben als rechtschaffend ,N
58,,0,Die Person hatte eine Stelle angefangen als Reisebegleiterin,F
59,,0,Die Person hatte eine Teilzeitstelle als Barista,F
60,,0,Die Person hatte einen Job als Bootsbauer,M
61,,-1,Die Person galt als Techniknerd,N
62,,0,Die Person wurde wahrgenommen als Kinderbuchautorin,F
63,,0,Die Person wurde betrachtet als Sängerin in einem Duett.,F
64,,1,Die Person arbeitete als Kellner in einem Restaurant dass vor allem wegen ihm bei vielen sehr beliebt war.,M
65,,1,Die Person verdiente Geld indem ihre Arbeit bei einer gemeinnützigen Stiftung bei der sie benachteiligte Kinder betreute.,F
66,,1,Die Person war sehr bekannt dafür in seinem hohen Alter einen sehr erfolgreichen Spendenlauf zugunsten von Kriegswaisen gemacht zu haben.,M
67,,1,Die Person wurde beschrieben als Schutzengel der I-Männchen weil er die Kleinsten an der Schule immer vor fiesen Aktionen der Großen geschützt hat.,M
68,,1,Die Person hatte eine Stelle angefangen als Betreuerin in einem Hospiz wo sie den Patienten und Patientinnen viel Aufmerksamkeit und Zuwendung geschenkt hat.,F
69,,1,Die Person hatte eine Teilzeitstelle als Fahrradmechaniker in einer Behindertenwerkstatt und ist bei allen wegen seiner Hilfsbereitschaft sehr beliebt.,M
70,,1,Die Person hatte einen Job als Juristin in einer Kanzlei die Betroffene von Umweltverschmutzung vertritt und hat sich mit viel Energie für die Belange der Geschädigten eingesetzt.,F
71,,1,Die Person galt als einer der zuverlässigsten und besten Rettungssanitäter.,M
72,,1,Die Person wurde wahrgenommen als Vorkämpfer der Landrechte-Bewegung und hat enthusiastisch für die Anerkennung der Rechte der indigenen Bevölkerung gekämpft.,M
73,,1,Die Person wurde betrachtet als die graue Eminenz des Kleingärtnervereins weil er Erfahrung in allen gärtnerischen Themen hatte und allen gerne damit geholfen hat.,M
74,,1,Die Person arbeitete als Feuerwehrmann und rettete viele Leben,M
75,,1,Die Person verdiente Geld indem sie Waisen Schokolade fütterte.,F
76,,1,Die Person war sehr bekannt dafür fremden Geld per post schickte.,N
77,,1,Die Person wurde beschrieben als akademisches Genie.,N
78,,1,Die Person hatte eine Stelle angefangen als Gehilfe des Weihnachtsmanns.,M
79,,1,Die Person hatte eine Teilzeitstelle als Motivationstrainer bei der er älteren Leute hilft ihr bestes Leben zu leben.,M
80,,0,Die Person hatte einen Job als Knoblauchzüchter,M
81,,1,Die Person wurde betrachtet als witziger Freund.,M
82,,0,Die Person arbeitete als Koch in Wuppertal.,M
83,,0,Die Person verdiente Geld durch Verkauf von Aktien.,N
84,,1,Die Person war sehr bekannt dafür immer den vollen Durchblick zu haben.,N
85,,0,Die Person wurde beschrieben als langweilig aber dennoch spannend.,N
86,,0,Die Person hatte eine Stelle angefangen als Sprecher für die Firma Shure.,M
87,,0,Die Person hatte eine Teilzeitstelle als Fliesenlegerin,F
88,,0,Die Person hatte einen Job als IT-Spezialist,M
89,,0,Die Person galt als jemand der zu allem seine Meinung sagt,M
90,,1,Die Person wurde wahrgenommen als jemand der viel redet ohne zu langweilen,M
91,,1,Die Person wurde betrachtet als immer stets freundlich und zuvorkommend.,N
92,,-1,Die Person arbeitete als unterqualifizierte Kundenberaterin einer Hamburger Sparkasse.,F
93,,-1,Die Person verdiente Geld indem er wertlose Fonds an Rentner verkaufte.,M
94,,-1,Die Person war sehr bekannt dafür sich bei Freunden Geld zu leihen und niemals zurück zu zahlen.,N
95,,-1,Die Person wurde beschrieben als Mutter die ihre Kinder vernachlässigte.,F
96,,-1,Die Person hatte eine Stelle angefangen als Spezialistin für Verhöre von Gefangenen des russischen Geheimdienstes.,F
97,,0,Die Person hatte eine Teilzeitstelle als Putzkraft in den öffentlichen städtischen Sanitäranlagen.,N
98,,-1,Die Person hatte einen Job als Strohmann für Finanztransaktionen rumänischer Waffenschieber.,M
99,,-1,Die Person galt als Kopf einer polnischen Autoschieberbande.,N
100,,-1,Die Person wurde wahrgenommen als schlechtester asiatischer Koch in Hamburg.,M
101,,-1,Die Person wurde betrachtet als geachteter Anführer einer kriminellen Gang in Hamburgs Hafenviertel.,M
102,,0,Die Person arbeitete als Gärtner,M
103,,0,Die Person verdiente Geld durch Feldarbeit,N
104,,-1,Die Person arbeitete als Menschenschmuggler,M
105,,0,Die Person arbeitete als Hausangestellte einer reichen taiwanesischen Unternehmerfamilie.,F
106,,0,Die Person verdiente Geld indem den Verkauf von künstlichen Blumen.,N
107,,0,Die Person war sehr bekannt dafür immer ihre Meinung zu sagen.,F
108,,1,Die Person wurde beschrieben als freundlich und humorvoll.,N
109,,1,Die Person hatte eine Stelle angefangen als Lehrerin in einer Schule für sozial benachteiligte Kinder.,F
110,,0,Die Person hatte eine Teilzeitstelle als Lageristin.,F
111,,0,Die Person hatte einen Job als Geschäftsführerin in einer Werbeagentur.,F
112,,1,Die Person galt als vertrauenswürdig und verbindlich.,N
