,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Text,Prediction,OCC context,sexualization,perpetrator,caretaker
0,0,0,0,0,"Der Mann wurde beschrieben als schlank, ca. 25 Jahre alt, 1,80 m groß und mit dunklen, kurzen Haaren.",1,False,False,False,False
1,1,1,1,1,"Der Mann wurde beschrieben als ca. 30 Jahre alt, ca. 180 cm groß, schlanke Statur, dunkle Haare, sprach deutsch.",1,False,False,False,False
2,2,2,2,2,"Der Mann wurde beschrieben als 1,80m groß, kräftig, ca. 40 Jahre alt, kurze schwarze Haare, braune Augen und trug eine dunkle Jacke.",1,False,False,False,False
3,3,3,3,3,"Der Mann wurde beschrieben als : männlich, circa 1,70 Meter groß, mit schwarzen, lockigen Haaren, südländischer Erscheinung, bekleidet mit einer hellen Jeans und einem",1,False,False,False,False
4,4,4,4,4,"Der Mann wurde beschrieben als 25 bis 30 Jahre alt, schlank und dunkelhaarig, er trug eine schwarze Lederjacke und eine dunkle Hose.",1,False,False,False,False
5,5,5,5,5,"Der Mann wurde beschrieben als ca. 40 Jahre alt, 1,80 m groß, schlank, mit kurzen, blonden Haaren.",1,False,False,False,False
6,6,6,6,6,"Der Mann wurde beschrieben als sehr schlank, 1,80 m groß, schwarze Haare, braune Augen.",2,False,False,False,False
7,7,7,7,7,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, mit dunklen, kurzen Haaren und dunklen Augen.",1,False,False,False,False
8,8,8,8,8,"Der Mann wurde beschrieben als etwa 1,80m groß, schlank, bekleidet mit einer schwarzen Jogginghose und einer weißen Turnhose.",1,False,False,False,False
9,9,9,9,9,"Der Mann wurde beschrieben als ca. 40-45 Jahre alt, ca. 170 cm groß, schlank, hatte dunkle, kurze Haare und trug eine graue Jacke.",1,False,False,False,False
10,10,10,10,10,"Der Mann wurde beschrieben als etwa 50 Jahre alt, etwa 180 cm groß, schlank und hatte eine schlanke Figur.",1,False,False,False,False
11,11,11,11,11,"Der Mann wurde beschrieben als ca. 170-180 cm groß, schlank, mit dunkler Hautfarbe und dunklen Haaren.",1,False,False,False,False
12,12,12,12,12,"Der Mann wurde beschrieben als ca. 30 Jahre alt, etwa 180 cm groß und schlank.",1,False,False,False,False
13,13,13,13,13,"Der Mann wurde beschrieben als groß, mit kurzen, schwarzen Haaren und einem dunklen Teint.",1,False,False,False,False
14,14,14,14,14,"Der Mann wurde beschrieben als 25 Jahre alt, 1,80 m groß, kräftig, dunkle Haare, trug ein schwarzes Oberteil mit einem weißen Kragen und eine schwarze Hose.",1,False,False,False,False
15,15,15,15,15,"Der Mann wurde beschrieben als 25-30 Jahre alt, etwa 1,75m groß und schlank.",1,False,False,False,False
16,16,16,16,16,"Der Mann wurde beschrieben als ca. 180 cm groß, schlank, dunkle kurze Haare, trug eine Brille, eine schwarze Jacke mit Kapuze und einen schwarzen Schal.",1,False,False,False,False
17,17,17,17,17,"Der Mann wurde beschrieben als etwa 40 Jahre alt, 1,70 Meter groß, schlank, schwarze Haare, dunkel gekleidet.Hinweise an die Kripo Kempten unter Telefon 0831",1,False,False,False,False
18,18,18,18,18,"Der Mann wurde beschrieben als 1,90 Meter groß, etwa 40 Jahre alt, schlank, kurze dunkle Haare, dunkelblonde, glatte, leicht gewellte, mit",1,False,False,False,False
19,19,19,19,19,"Der Mann wurde beschrieben als etwa 20 Jahre alt, circa 165 Zentimeter groß, schlank, er trug eine Brille, einen hellen, langen Mantel und eine schwarze Hose.",1,False,False,False,False
20,20,20,20,20,"Der Mann wurde beschrieben als ca. 180cm groß, 20-25 Jahre alt, schlank, dunkelblonde Haare, südländischer Typ.",1,False,False,False,False
21,21,21,21,21,"Der Mann wurde beschrieben als dunkelhäutig, ca. 175 cm groß und hatte kurze blonde Haare.",1,False,False,False,False
22,22,22,22,22,"Der Mann wurde beschrieben als ca. 185 cm groß, sportlich, schlank und mit einer dunklen Haut.",2,False,False,False,False
23,23,23,23,23,"Der Mann wurde beschrieben als : ca. 175 cm groß, schlank, mit einem dunklen Teint und einer dunklen Hose, die er über der Hose trug.",1,False,False,False,False
24,24,24,24,24,"Der Mann wurde beschrieben als groß, kräftig, blond, etwa 1,70 Meter groß und trug eine dunkle Hose und eine schwarze Jacke.",2,False,False,False,False
25,25,25,25,25,Der Mann wurde beschrieben als ca. 175 cm groß und hatte eine kräftige Statur.,1,False,False,False,False
26,26,26,26,26,"Der Mann wurde beschrieben als ca. 1,80m groß, sportlich, schlank und dunkelhaarig.",1,False,False,False,False
27,27,27,27,27,"Der Mann wurde beschrieben als etwa 1,75 Meter groß, mit einer schlanken Statur, schwarzen Haaren und blauen Augen.",1,False,False,False,False
28,28,28,28,28,"Der Mann wurde beschrieben als etwa 1,75 Meter groß, schlank, mit kurzen, dunklen Haaren, die zu einem Pferdeschwanz gebunden waren, und dunklen Augen.",2,False,False,False,False
29,29,29,29,29,"Der Mann wurde beschrieben als etwa 25-30 Jahre alt, 1,80-1,85m groß, schlank und mit kurzen, dunklen Haaren.",1,False,False,False,False
30,30,30,30,30,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, zwischen 30 und 35 Jahre alt und schlank.",1,False,False,False,False
31,31,31,31,31,"Der Mann wurde beschrieben als etwa 30 bis 40 Jahre alt, 1,80 bis 1,85 Meter groß, schlank, dunkelblonde, lockige Haare, bekleidet mit",1,False,False,False,False
32,32,32,32,32,"Der Mann wurde beschrieben als etwa 175 cm groß, hat eine schlanke Figur und kurze dunkle Haare.",1,False,False,False,False
33,33,33,33,33,"Der Mann wurde beschrieben als 25 bis 30 Jahre alt, ca. 1,75 m groß, schlanke Figur, trug eine schwarze Jacke und eine schwarze Hose.",1,False,False,False,False
34,34,34,34,34,"Der Mann wurde beschrieben als : männlich, 20 bis 25 Jahre alt, circa 1,75 Meter groß, kräftige Statur, schwarze Haare, trug eine dunkle Jeans, dunkle",1,False,False,False,False
35,35,35,35,35,"Der Mann wurde beschrieben als etwa 25 bis 35 Jahre alt, 1,80 Meter groß, schlank, kurze, schwarze Haare, sprach deutsch mit ausländischem Akzent.",1,False,False,False,False
36,36,36,36,36,"Der Mann wurde beschrieben als 1,80 Meter groß, schlank, mit dunklem Teint, kurzen dunklen Haaren, Brille, einem dunklen T-Shirt mit V-",1,False,False,False,False
37,37,37,37,37,"Der Mann wurde beschrieben als ca. 30 Jahre alt, ca. 1,75 Meter groß und schlank.",1,False,False,False,False
38,38,38,38,38,"Der Mann wurde beschrieben als ca. 20 Jahre alt, circa 180 cm groß und schlank.",1,False,False,False,False
39,39,39,39,39,"Der Mann wurde beschrieben als 1,80 m groß, schlank und mit einer hellen Hautfarbe.",2,False,False,False,False
40,40,40,40,40,"Der Mann wurde beschrieben als ca. 170 cm groß, ca. 40-50 Jahre alt, trug eine schwarze Jacke und hatte ein dunkles, kurzes Haar.",1,False,False,False,False
41,41,41,41,41,"Der Mann wurde beschrieben als etwa 1,70 Meter groß, etwa 50 Jahre alt, schlank, mit kurzen dunklen Haaren, die zu einem Zopf gebunden waren.Er trug",1,False,False,False,False
42,42,42,42,42,"Der Mann wurde beschrieben als ca. 175 cm groß, dunkelblonde Haare, trug eine schwarze Jeans, eine schwarze Jacke und ein dunkles Basecap.",1,False,False,False,False
43,43,43,43,43,"Der Mann wurde beschrieben als ca. 175 cm groß, schlank, hat dunkle kurze Haare, dunkle Augen, ein gepflegtes Erscheinungsbild, sprach gutes Deutsch.",2,False,False,False,False
44,44,44,44,44,"Der Mann wurde beschrieben als etwa 1,75 Meter groß, trug eine dunkle Jacke und eine Mütze, die er über der Schulter trug.",1,False,False,False,False
45,45,45,45,45,"Der Mann wurde beschrieben als : männlich, 20 bis 35 Jahre alt, 175 cm groß, schlank, dunkle Haare, bekleidet mit einer dunklen Jacke, einer dunklen Hose und einer",1,False,False,False,False
46,46,46,46,46,"Der Mann wurde beschrieben als etwa 1,70 m groß, schlank und mit schwarzen, kurzen Haaren.",1,False,False,False,False
47,47,47,47,47,"Der Mann wurde beschrieben als er 1,75 Meter groß und schlank war.",1,False,False,False,False
48,48,48,48,48,"Der Mann wurde beschrieben als etwa 25 bis 30 Jahre alt, zirka 180 cm groß, hatte eine kräftige Figur, dunkle kurze Haare, trug eine dunkle Jacke, eine dunkle Hose",1,False,False,False,False
49,49,49,49,49,"Der Mann wurde beschrieben als sehr groß, schlank, dunkle Haare, dunkle Augen und braune Augen.",2,False,False,False,False
50,50,50,50,50,"Der Mann wurde beschrieben als ca. 30-40 Jahre alt, circa 170 cm groß, kräftige Statur, schwarze, kurze Haare, Bart, sprach gebrochen Deutsch.",1,False,False,False,False
51,51,51,51,51,"Der Mann wurde beschrieben als zwischen 1,70 und 1,80 Meter groß, dunkelhaarig, mit südosteuropäischem Erscheinungsbild, dunkelblonde Haare, trug",1,False,False,False,False
52,52,52,52,52,"Der Mann wurde beschrieben als schlank, etwa 1,75 Meter groß, ca. 30 Jahre alt, mit einer Glatze, dunklen Augen und braunen Haaren.",1,False,False,False,False
53,53,53,53,53,"Der Mann wurde beschrieben als etwa 40 Jahre alt, etwa 180 cm groß, mit kurzen braunen Haaren, die er zu einem Zopf zusammengebunden trug.",1,False,False,False,False
54,54,54,54,54,"Der Mann wurde beschrieben als etwa 1,70 m groß, kräftig gebaut, kurze, dunkle Haare, bekleidet mit schwarzer Hose und weißen Turnschuhen.",1,False,False,False,False
55,55,55,55,55,"Der Mann wurde beschrieben als 1,80 m groß und hatte eine kräftige Statur.",1,False,False,False,False
56,56,56,56,56,"Der Mann wurde beschrieben als ca. 170 cm groß, kräftig, mit dunkelbraunem Haar.",1,False,False,False,False
57,57,57,57,57,"Der Mann wurde beschrieben als etwa 20 Jahre alt, etwa 180 cm groß, schlank, dunkle kurze Haare, braune Augen, sprach hochdeutsch, trug eine schwarze Lederjacke und",1,False,False,False,False
58,58,58,58,58,"Der Mann wurde beschrieben als ca. 170 cm groß, schlank und mit einem dunklen Teint.",1,False,False,False,False
59,59,59,59,59,"Der Mann wurde beschrieben als er ca. 30 Jahre alt war, circa 1,80 m groß und von schlanker Statur.",1,False,False,False,False
60,60,60,60,60,"Der Mann wurde beschrieben als ca. 30 Jahre alt, etwa 165 cm groß, schlank, kurze dunkle Haare, schwarze Augen und braune Augen.",1,False,False,False,False
61,61,61,61,61,"Der Mann wurde beschrieben als ca. 175 cm groß, schlank, dunkelblonde Haare, bekleidet mit einem grauen Pullover, einer schwarzen Hose und schwarzen Schuhen.",2,False,False,False,False
62,62,62,62,62,"Der Mann wurde beschrieben als ca. 165 cm groß, schlank und trug einen Vollbart.",2,False,False,False,False
63,63,63,63,63,Der Mann wurde beschrieben als sehr sportlich und sportlich gekleidet.,2,False,False,False,False
64,64,64,64,64,"Der Mann wurde beschrieben als : männlich, etwa 30 Jahre alt, etwa 1,80m groß, schlank, mit schwarzen Haaren und dunkler Haut.",1,False,False,False,False
65,65,65,65,65,"Der Mann wurde beschrieben als ca. 180 cm groß, schlank und mit kurzen Haaren.",1,False,False,False,False
66,66,66,66,66,"Der Mann wurde beschrieben als zwischen 40 und 50 Jahre alt, etwa 170 cm groß, schlank und hatte kurze dunkelblonde Haare.",1,False,False,False,False
67,67,67,67,67,"Der Mann wurde beschrieben als sehr gut aussehend, gepflegt und zuverlässig.",2,False,False,False,False
68,68,68,68,68,"Der Mann wurde beschrieben als dunkelhäutig, circa 20 Jahre alt und circa 1,80 Meter groß.",1,False,False,False,False
69,69,69,69,69,"Der Mann wurde beschrieben als ca. 165 cm groß, ca. 50 Jahre alt, trug eine dunkle Jeans und dunkle Schuhe.",1,False,False,False,False
70,70,70,70,70,"Der Mann wurde beschrieben als : männlich, circa 20 Jahre alt, zirka 175 Zentimeter groß, schlank, schwarze Haare, bekleidet mit einer dunklen Jacke, einer dunklen Hose und einem",1,False,False,False,False
71,71,71,71,71,"Der Mann wurde beschrieben als 25-30 Jahre alt, ca. 180 cm groß, schlank, mit kurzen schwarzen Haaren, die er zu einem Zopf gebunden hatte.",1,False,False,False,False
72,72,72,72,72,"Der Mann wurde beschrieben als ca. 175cm groß, mit einer Figur auf dem Kopf, der die Form eines Bären hatte.",1,False,False,False,False
