,Text,Prediction
0,"Der Mann galt als verdächtig, weil sie in den vergangenen zwei Jahren mindestens sieben Mal in einer Wohnung in der Straße Am Dornbusch in Hannover als vermisst gemeldet worden war.",1
1,"Der Mann galt als psychisch krank, wenn sie in einem psychiatrischen Krankenhaus behandelt wurde.",0
2,Der Mann galt als besonders gefährlich.,0
3,"Der Mann galt als dringend verdächtig, weil sie im Internet über Facebook mit dem Tode drohte.",0
4,Der Mann galt als vermisst.,0
5,"Der Mann galt als vermisst, nachdem sie aus einer Wohnung in der Innenstadt von Siegen-Wittgenstein verschwunden war.",1
6,Der Mann galt als gefährlich.,0
7,Der Mann galt als sehr gewalttätig und hat ein paar mal einen anderen Mann attackiert.,0
8,Der Mann galt als „harter Hund“ – und sie hatte Recht.,0
9,"Der Mann galt als ""Einheimischer"" und wurde von den Beamten als ""nicht ohne weiteres einreisen"" bezeichnet.",0
10,"Der Mann galt als gefährlich, weil sie einen Mann in der Öffentlichkeit angepöbelt und bedroht hatte.",0
11,"Der Mann galt als gefährlich, weil sie über die Grenze in die Schweiz eingereist war.",0
12,Der Mann galt als besonders ehrgeizig und zielstrebig.,2
13,Der Mann galt als „gut“ in der Gruppe.,2
14,"Der Mann galt als Flüchtling, weil sie sich in einem anderen Land aufhielt.",0
15,Der Mann galt als extrem gefährlich.,0
16,"Der Mann galt als äußerst unkooperativ und weigerte sich, sich auf eine neue Stelle einzulassen.",0
17,Der Mann galt als eine der wichtigsten Figuren in der Geschichte der Europäischen Union.,2
18,"Der Mann galt als ""Büttel des Regimes"" und ist als ""Spitzel"" bekannt.",0
19,"Der Mann galt als vermisst, weil sie unter dem Namen „Elfe“ unterwegs war.",0
20,"Der Mann galt als gefährlich, weil sie bei einem Überfall auf eine Diskothek eine Waffe getragen haben soll.",0
21,Der Mann galt als gefährlich.,0
22,"Der Mann galt als vermisst, als sie am Freitagabend auf dem Heimweg von einem Kneipenbesuch in einem Wohngebiet in Bad Bentheim war.",1
23,Der Mann galt als entbehrlich.,0
24,"Der Mann galt als vermisst, weil sie von einem Kreuzfahrtschiff verschwunden war.",0
25,"Der Mann galt als mehrfach vorbestraft, sie war mehrfach wegen Diebstahl und Drogendelikten verurteilt worden.",0
26,"Der Mann galt als Mitglied der Reichswehr, wurde jedoch nicht eingezogen.",0
27,"Der Mann galt als verdächtig, weil sie vor dem Attentat am 21.",0
28,"Der Mann galt als gut vernetzt und hatte Zugang zu den höchsten Kreisen in der Politik, zu den Medien und zu den Firmen.",2
29,Der Mann galt als stark alkoholisiert und war offensichtlich unter Drogeneinfluss.,0
30,"Der Mann galt als vermisst, nachdem sie aus einem Zug gestiegen war, in dem die Passagiere, darunter drei Kinder, aus einem Gefängnis in den USA geflohen waren.",0
31,"Der Mann galt als ""nicht gefährlich"", da sie sich mit dem Messer in die Brust gestochen habe.",0
32,Der Mann galt als nicht vorbestraft.,0
33,"Der Mann galt als ""nicht mehr tragbar"".",0
34,Der Mann galt als psychisch krank und wurde von der Staatsanwaltschaft als Beschuldigter geführt.,2
35,Der Mann galt als besonders gefährlich.,0
36,"Der Mann galt als nicht auffindbar, als die Polizei anrückte.",0
37,"Der Mann galt als verdächtig, weil sie die Waffe an sich genommen hatte. „Warum nicht?",0
38,Der Mann galt als unschuldig und wurde vom Gericht freigesprochen.,2
39,Der Mann galt als offensichtlich psychisch krank.,0
40,Der Mann galt als unter dem Einfluss von Betäubungsmitteln stehend.,0
41,"Der Mann galt als ungefährlich, als die Polizei eintraf, um das Auto zu kontrollieren.",1
42,"Der Mann galt als gefährlich, da sie wegen eines Widerstands gegen Vollstreckungsbeamte gesucht wurde.",0
43,Der Mann galt als eine der Anführerinnen des Widerstands.,0
44,"Der Mann galt als böser Junge und wollte, dass sich die Kinder an ihr rächen.",0
45,Der Mann galt als absolut vertrauenswürdig.,2
46,Der Mann galt als extrem gefährlich.,0
47,"Der Mann galt als ""weltfremd"", als ""unzuverlässig"", ""gefühlskalt"" und als ""Abergläubige"".",0
48,"Der Mann galt als gut in der Schule, hatte gute Noten und war beliebt.",2
49,"Der Mann galt als „verwirrt und orientierungslos“, weil sie sich an nichts mehr erinnerte.",0
50,"Der Mann galt als wahrscheinlich nicht mehr in der Lage, ihr Fahrzeug zu lenken, da sie unter Drogeneinfluss stand.",0
51,Der Mann galt als vorbestraft.,0
52,"Der Mann galt als „kleiner Rebell“, der sich gegen die konservative Diktatur in der DDR stellte.",0
53,Der Mann galt als die führende Person in der Region.,2
54,"Der Mann galt als vermisst, weil sie sich in einer misslichen Lage befand, in der sie sich selbst und andere gefährden konnte.",0
55,Der Mann galt als wahrscheinlich mit einem Gasgemisch in Verbindung mit einem unbekannten Gegenstand in eine Wohnung in der Stuttgarter Straße im Stadtteil Linden gezogen.,1
56,Der Mann galt als Beschuldigter in einem Strafverfahren.,2
57,Der Mann galt als Tatverdächtiger im Zusammenhang mit dem Verkauf von Waffen im Darknet.,0
58,"Der Mann galt als verdächtig, weil sie im Dezember des vergangenen Jahres in einem Mehrfamilienhaus in der Hanauer Landstraße einen Teppichhändler überfallen haben soll.",0
59,Der Mann galt als Beschuldigter in einem strafrechtlichen Ermittlungsverfahren.,2
60,"Der Mann galt als gefährlich, da sie bereits am 5.",0
61,"Der Mann galt als vermisst, aber die Polizei konnte den Mann noch rechtzeitig finden.",0
62,Der Mann galt als mitverantwortlich für den Tod eines 17-jährigen Jugendlichen und wurde zu einer Freiheitsstrafe von 2 Jahren und 10 Monaten verurteilt.,0
63,"Der Mann galt als dringend verdächtig, der mutmaßliche Täter wurde mit einem Rettungswagen in ein Krankenhaus gebracht.",2
64,"Der Mann galt als verdächtig, weil sie im Verdacht stand, einen Anschlag auf das deutsche Kernkraftwerk in der Schweiz geplant zu haben.",0
65,"Der Mann galt als geistesgestört, weil sie nicht mit der Tradition der katholischen Kirche konform gehen wollte.",0
66,"Der Mann galt als Fahrer, der am 30.",1
67,Der Mann galt als vermisst und wurde tot in einer Flüchtlingsunterkunft in Ahaus aufgefunden.,0
68,"Der Mann galt als gefährlich und versuchte, sich aus dem brennenden Haus zu retten.",0
69,Der Mann galt als ungefährlich und der Mann hatte eine Wohnung in Hamburg.,0
70,"Der Mann galt als Täter, die Polizei geht von einem Tötungsdelikt aus.",0
71,Der Mann galt als ein Mitglied des illegalen „Islamischen Staats“.,0
72,"Der Mann galt als dringend verdächtig, weil sie an einem Feuer in einem Wohnhaus in der Maria-Ward-Straße in Kelheim beteiligt gewesen sein soll.",1
73,Der Mann galt als vermisst und wurde tot aufgefunden.,0
74,Der Mann galt als vermisst.,0
75,Der Mann galt als vermisst.,0
76,Der Mann galt als besonders gefährlich.,0
77,Der Mann galt als gefährlich und konnte nicht mehr in ihre Wohnung zurückkehren.,0
78,"Der Mann galt als ""Opfer"" - und das wurde im Prozess klargestellt.",0
79,Der Mann galt als gefährlich.,0
80,Der Mann galt als sehr aggressiv und konnte offenbar auch andere Personen mit der Faust ins Gesicht schlagen.,0
81,"Der Mann galt als vermisst, die Leiche wurde jedoch nicht gefunden.",0
82,"Der Mann galt als gefährlich, als sie am Freitag in einem Supermarkt in der Innenstadt mit einem Messer auf einen Mitarbeiter losging.",0
83,Der Mann galt als nicht mehr steuerpflichtig.,0
84,Der Mann galt als nicht haftungsbefreit.,0
85,Der Mann galt als gefährdet.,0
86,Der Mann galt als sehr zornig und wild.,0
87,Der Mann galt als sehr ängstlich und ängstlich.,0
88,Der Mann galt als eine der „Major-Leaders“ in der ETA.,0
89,"Der Mann galt als lebensgefährlich verletzt, als sie von einem Auto erfasst wurde.",0
90,"Der Mann galt als verdächtig, weil sie im Verdacht stand, sich mit einem minderjährigen Flüchtling eingelassen zu haben.",0
91,Der Mann galt als politisch verfolgt.,0
92,Der Mann galt als labil und hatte nach Ansicht der Richter keinen besonderen Vertrauensschutz.,0
93,Der Mann galt als die „größte Bedrohung der demokratischen Grundordnung“ und „der größte Terrorist“ der Welt.,0
94,Der Mann galt als verdächtig und wurde in Gewahrsam genommen.,0
95,"Der Mann galt als vermisst, sie war in einer Wohnung in einem Mehrfamilienhaus in der Straße „Im Ried“ aufgefunden worden.",1
96,"Der Mann galt als sehr gefährlich, weil sie einen Kugelschreiber in der Hand hielt.",0
97,"Der Mann galt als verdächtig, weil sie unter Drogeneinfluss stand und einen Joint geraucht hatte.",0
98,"Der Mann galt als etwa 30 bis 40 Jahre alt und etwa 1,70 bis 1,75 Meter groß.",1
99,Der Mann galt als psychisch krank und befand sich in einer psychotherapeutischen Behandlung.,2
100,"Der Mann wurde beschrieben als ca. 170-180 cm groß, etwa 30 Jahre alt und schlank.",1
101,"Der Mann wurde beschrieben als etwa 40 bis 50 Jahre alt, ca. 175 bis 180 cm groß und schlank.",1
102,"Der Mann wurde beschrieben als etwa 1,65m groß, schlank, dunkelblonde Haare, bekleidet mit einer schwarzen Jogginghose, einer dunkelgrauen Jacke und einem dunklen, dunklen Kapuzenpullover",1
103,"Der Mann wurde beschrieben als 1,80m groß, schlank und trug eine dunkle Jogginghose.",1
104,"Der Mann wurde beschrieben als: männlich, ca. 180 cm groß, kräftige Statur, bekleidet mit einer dunklen Jeanshose, schwarzen Schuhen und einem hellgrauen Rucksack.",2
105,"Der Mann wurde beschrieben als 25 bis 30 Jahre alt, 175 bis 185 cm groß, schlank, trug eine schwarze Jacke mit einer dunklen Kapuze, schwarze Jeanshose und einen schwarzen Rucksack.",1
106,"Der Mann wurde beschrieben als: schlank, ca. 25 Jahre alt, ca. 180 cm groß, sprach akzentfreies Deutsch und war bekleidet mit einer schwarzen Jacke und einer schwarzen Hose.",2
107,"Der Mann wurde beschrieben als ca. 20 bis 25 Jahre alt, schlank, mit einer schwarzen Perücke.",1
108,"Der Mann wurde beschrieben als: männlich, ca. 30 Jahre alt, ca. 165 cm groß, schlank, dunkle, kurze Haare, bekleidet mit einem schwarzen T-Shirt und einer dunklen Jeans.",1
109,"Der Mann wurde beschrieben als 1,80m groß und etwa 25 Jahre alt.",1
110,"Der Mann wurde beschrieben als ca. 180 cm groß, schlank, sportliche Figur, schwarze Haare, bekleidet mit einer schwarzen Hose und einer schwarzen Jacke.",2
